Profiling load_model_state_dict...
         219349 function calls (196033 primitive calls) in 87.281 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   87.282   87.282 /home/model-server/microbench/load_profile.py:13(load_model_state_dict)
        1    0.000    0.000   76.590   76.590 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:1969(load_state_dict)
   1118/1    0.007    0.000   76.589   76.589 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:2007(load)
     1118    0.017    0.000   76.572    0.068 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:1875(_load_from_state_dict)
      559   76.350    0.137   76.350    0.137 {method 'copy_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    8.918    8.918 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:1333(__init__)
        2    0.000    0.000    8.505    4.252 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:876(__init__)
        2    0.000    0.000    4.618    2.309 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:883(<listcomp>)
       48    0.001    0.000    4.618    0.096 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:651(__init__)
      432    0.003    0.000    4.586    0.011 /home/venv/lib/python3.9/site-packages/torch/nn/modules/linear.py:90(__init__)
      432    0.002    0.000    4.555    0.011 /home/venv/lib/python3.9/site-packages/torch/nn/modules/linear.py:103(reset_parameters)
      432    0.004    0.000    4.552    0.011 /home/venv/lib/python3.9/site-packages/torch/nn/init.py:366(kaiming_uniform_)
      432    4.538    0.011    4.538    0.011 {method 'uniform_' of 'torch._C._TensorBase' objects}
      438    4.257    0.010    4.257    0.010 {method 'normal_' of 'torch._C._TensorBase' objects}
        3    0.000    0.000    4.080    1.360 /home/venv/lib/python3.9/site-packages/transformers/modeling_utils.py:1104(post_init)
        3    0.000    0.000    4.079    1.360 /home/venv/lib/python3.9/site-packages/transformers/modeling_utils.py:1589(init_weights)
   2234/3    0.003    0.000    4.069    1.356 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:848(apply)
     2234    0.001    0.000    4.059    0.002 /home/venv/lib/python3.9/site-packages/transformers/modeling_utils.py:1255(_initialize_weights)
     1116    0.006    0.000    4.051    0.004 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:799(_init_weights)
       48    0.000    0.000    2.658    0.055 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:330(__init__)
       48    0.001    0.000    2.652    0.055 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:301(__init__)
       72    0.002    0.000    1.949    0.027 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:348(__init__)
        1    0.000    0.000    1.772    1.772 /home/venv/lib/python3.9/site-packages/torch/serialization.py:671(load)
        1    0.000    0.000    1.771    1.771 /home/venv/lib/python3.9/site-packages/torch/serialization.py:1104(_load)
        1    0.004    0.004    1.771    1.771 {method 'load' of '_pickle.Unpickler' objects}
      559    0.002    0.000    1.758    0.003 /home/venv/lib/python3.9/site-packages/torch/serialization.py:1125(persistent_load)
      557    1.748    0.003    1.754    0.003 /home/venv/lib/python3.9/site-packages/torch/serialization.py:1109(load_tensor)
       48    0.000    0.000    1.304    0.027 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:583(__init__)
       24    0.000    0.000    0.653    0.027 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:615(__init__)
        3    0.000    0.000    0.218    0.073 /home/venv/lib/python3.9/site-packages/torch/nn/modules/sparse.py:123(__init__)
        3    0.000    0.000    0.217    0.072 /home/venv/lib/python3.9/site-packages/torch/nn/modules/sparse.py:152(reset_parameters)
        3    0.000    0.000    0.217    0.072 /home/venv/lib/python3.9/site-packages/torch/nn/init.py:140(normal_)
        3    0.000    0.000    0.217    0.072 /home/venv/lib/python3.9/site-packages/torch/nn/init.py:17(_no_grad_normal_)
     3910    0.197    0.000    0.197    0.000 {method 'values' of 'collections.OrderedDict' objects}
     4831    0.010    0.000    0.027    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:1617(__setattr__)
     7063    0.013    0.000    0.014    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:1601(__getattr__)
     1116    0.013    0.000    0.014    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:437(__init__)
     3549    0.002    0.000    0.012    0.000 {built-in method builtins.hasattr}
        3    0.001    0.000    0.011    0.004 /home/venv/lib/python3.9/site-packages/transformers/modeling_utils.py:1264(tie_weights)
27062/22786    0.005    0.000    0.009    0.000 {built-in method builtins.isinstance}
      559    0.001    0.000    0.009    0.000 /home/venv/lib/python3.9/site-packages/torch/_utils.py:166(_rebuild_tensor_v2)
      989    0.002    0.000    0.009    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:539(register_parameter)
     1117    0.005    0.000    0.008    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:2014(<dictcomp>)
      559    0.001    0.000    0.008    0.000 /home/venv/lib/python3.9/site-packages/torch/_utils.py:145(_rebuild_tensor)
      122    0.001    0.000    0.007    0.000 /home/venv/lib/python3.9/site-packages/transformers/models/t5/modeling_t5.py:238(__init__)
     4465    0.002    0.000    0.007    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:2167(children)
      435    0.006    0.000    0.006    0.000 {built-in method torch.empty}
     4274    0.004    0.000    0.005    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/parameter.py:8(__instancecheck__)
     2235    0.000    0.000    0.005    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:2197(modules)
     4465    0.005    0.000    0.005    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:2176(named_children)
      994    0.002    0.000    0.005    0.000 /home/venv/lib/python3.9/site-packages/torch/autograd/grad_mode.py:57(__exit__)
16995/2235    0.004    0.000    0.005    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:2224(named_modules)
      557    0.002    0.000    0.005    0.000 /home/venv/lib/python3.9/site-packages/torch/_tensor.py:237(_typed_storage)
      557    0.001    0.000    0.004    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/parameter.py:30(__new__)
     1988    0.003    0.000    0.004    0.000 /home/venv/lib/python3.9/site-packages/torch/autograd/grad_mode.py:149(__init__)
     3380    0.001    0.000    0.004    0.000 {built-in method builtins.getattr}
      559    0.004    0.000    0.004    0.000 {built-in method torch.tensor}
      170    0.000    0.000    0.004    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/dropout.py:13(__init__)
    27089    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      557    0.004    0.000    0.004    0.000 {built-in method _make_subclass}
      559    0.003    0.000    0.003    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
      432    0.001    0.000    0.003    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/init.py:356(_calculate_correct_fan)
2939/2935    0.003    0.000    0.003    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:258(__getattribute__)
      994    0.002    0.000    0.002    0.000 /home/venv/lib/python3.9/site-packages/torch/autograd/grad_mode.py:48(__init__)
      994    0.001    0.000    0.002    0.000 /home/venv/lib/python3.9/site-packages/torch/autograd/grad_mode.py:53(__enter__)
    15116    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      122    0.002    0.000    0.002    0.000 {built-in method torch.ones}
     1114    0.001    0.000    0.002    0.000 /home/venv/lib/python3.9/site-packages/torch/storage.py:427(__init__)
      432    0.001    0.000    0.002    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/init.py:284(_calculate_fan_in_and_fan_out)
        1    0.000    0.000    0.002    0.002 /home/venv/lib/python3.9/site-packages/transformers/models/auto/configuration_auto.py:856(from_pretrained)
      432    0.001    0.000    0.002    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/init.py:67(calculate_gain)
     4508    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      120    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/container.py:377(append)
    769/6    0.001    0.000    0.001    0.000 /usr/lib/python3.9/copy.py:128(deepcopy)
     1114    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/storage.py:355(__new__)
     1117    0.001    0.000    0.001    0.000 {built-in method torch._C._log_api_usage_once}
        1    0.000    0.000    0.001    0.001 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:677(from_dict)
       50    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/container.py:276(__init__)
     21/6    0.000    0.000    0.001    0.000 /usr/lib/python3.9/copy.py:226(_deepcopy_dict)
6287/6162    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      122    0.001    0.000    0.001    0.000 {method 'fill_' of 'torch._C._TensorBase' objects}
      557    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/_utils.py:751(_element_size)
        1    0.000    0.000    0.001    0.001 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:756(__repr__)
        1    0.000    0.000    0.001    0.001 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:820(to_json_string)
      168    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:585(add_module)
     2982    0.001    0.000    0.001    0.000 {built-in method torch.is_grad_enabled}
       48    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/transformers/activations.py:207(__getitem__)
     4330    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     1118    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:1913(<dictcomp>)
        1    0.000    0.000    0.001    0.001 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:759(to_diff_dict)
      557    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:215(default_restore_location)
     4274    0.001    0.000    0.001    0.000 {function _ParameterMeta.__instancecheck__ at 0x7fd4a531a790}
     7823    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
     1506    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:1618(remove_from)
        3    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:791(to_dict)
