Profiling load_model_state_dict...
         230787 function calls (207449 primitive calls) in 10.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.540   10.540 test/microbench/load_profile.py:13(load_model_state_dict)
        1    0.000    0.000    8.802    8.802 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:1347(__init__)
        2    0.000    0.000    8.364    4.182 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:901(__init__)
        2    0.000    0.000    4.479    2.240 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:908(<listcomp>)
       48    0.001    0.000    4.479    0.093 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:645(__init__)
      432    0.003    0.000    4.450    0.010 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/linear.py:92(__init__)
      432    0.002    0.000    4.427    0.010 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/linear.py:105(reset_parameters)
      432    0.004    0.000    4.424    0.010 /home/jw/.local/lib/python3.8/site-packages/torch/nn/init.py:406(kaiming_uniform_)
      432    4.411    0.010    4.411    0.010 {method 'uniform_' of 'torch._C.TensorBase' objects}
      438    4.286    0.010    4.286    0.010 {method 'normal_' of 'torch._C.TensorBase' objects}
        3    0.000    0.000    4.087    1.362 /home/jw/.local/lib/python3.8/site-packages/transformers/modeling_utils.py:1323(post_init)
        3    0.000    0.000    4.087    1.362 /home/jw/.local/lib/python3.8/site-packages/transformers/modeling_utils.py:2192(init_weights)
   2234/3    0.004    0.000    4.077    1.359 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:857(apply)
     2234    0.001    0.000    4.069    0.002 /home/jw/.local/lib/python3.8/site-packages/transformers/modeling_utils.py:1726(_initialize_weights)
     1116    0.005    0.000    4.061    0.004 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:811(_init_weights)
       48    0.000    0.000    2.576    0.054 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:324(__init__)
       48    0.001    0.000    2.571    0.054 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:295(__init__)
       72    0.001    0.000    1.892    0.026 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:342(__init__)
        1    0.000    0.000    1.578    1.578 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:865(load)
        1    0.000    0.000    1.577    1.577 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:1338(_load)
        1    0.080    0.080    1.577    1.577 {method 'load' of '_pickle.Unpickler' objects}
      559    0.002    0.000    1.491    0.003 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:1399(persistent_load)
      557    1.472    0.003    1.487    0.003 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:1372(load_tensor)
       48    0.000    0.000    1.266    0.026 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:577(__init__)
       24    0.000    0.000    0.634    0.026 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:609(__init__)
        3    0.000    0.000    0.235    0.078 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/sparse.py:124(__init__)
        3    0.000    0.000    0.234    0.078 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/sparse.py:153(reset_parameters)
        3    0.000    0.000    0.234    0.078 /home/jw/.local/lib/python3.8/site-packages/torch/nn/init.py:151(normal_)
        3    0.000    0.000    0.234    0.078 /home/jw/.local/lib/python3.8/site-packages/torch/nn/init.py:18(_no_grad_normal_)
        1    0.000    0.000    0.157    0.157 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2103(load_state_dict)
   1118/1    0.005    0.000    0.157    0.157 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2153(load)
     1118    0.012    0.000    0.144    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1974(_load_from_state_dict)
      559    0.123    0.000    0.123    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
     4834    0.009    0.000    0.021    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1711(__setattr__)
     1116    0.012    0.000    0.013    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:428(__init__)
        3    0.001    0.000    0.009    0.003 /home/jw/.local/lib/python3.8/site-packages/transformers/modeling_utils.py:1735(tie_weights)
29897/25619    0.005    0.000    0.009    0.000 {built-in method builtins.isinstance}
     7063    0.008    0.000    0.008    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1696(__getattr__)
      557    0.004    0.000    0.008    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/_guards.py:823(detect_fake_mode)
      994    0.008    0.000    0.008    0.000 {built-in method torch.empty}
     3557    0.002    0.000    0.007    0.000 {built-in method builtins.hasattr}
     1117    0.004    0.000    0.007    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2162(<dictcomp>)
      122    0.001    0.000    0.006    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/modeling_t5.py:232(__init__)
      559    0.001    0.000    0.006    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/_utils.py:199(_rebuild_tensor_v2)
      559    0.001    0.000    0.005    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/_utils.py:178(_rebuild_tensor)
     4465    0.001    0.000    0.005    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2313(children)
     2235    0.000    0.000    0.005    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2342(modules)
     4277    0.003    0.000    0.005    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/parameter.py:8(__instancecheck__)
      557    0.002    0.000    0.005    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/_tensor.py:241(_typed_storage)
      989    0.002    0.000    0.004    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:528(register_parameter)
16995/2235    0.004    0.000    0.004    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2369(named_modules)
     1988    0.002    0.000    0.004    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:183(__init__)
      557    0.001    0.000    0.004    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/parameter.py:34(__new__)
      994    0.001    0.000    0.004    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:83(__exit__)
4014/4013    0.002    0.000    0.004    0.000 {built-in method builtins.getattr}
    27089    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
     4465    0.003    0.000    0.003    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2322(named_children)
      170    0.000    0.000    0.003    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/dropout.py:13(__init__)
