Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
2,1000,1000,0.2,0.0,533.21,523.18,56.08,925.4,199.54,8,602,224,166,523.18,790.56,835.63,882.24
2,1000,1000,0.2,1.1,149.97,149.16,0.05,345.47,73.64,105,666,204,25,149.16,249.21,271.45,313.47
2,1000,1000,0.2,1.6,49.83,0.21,0.1,217.29,61.72,591,388,21,0,0.21,135.93,152.24,176.28
2,1000,1000,0.2,2.2,21.1,0.05,0.05,182.29,46.61,796,204,0,0,0.05,110.17,134.21,182.29
2,1000,1000,0.2,4.0,14.61,0.25,0.16,183.25,42.91,903,96,1,0,0.25,35.94,158.25,158.25
2,1000,1000,1.0,0.0,2451.77,2473.0,44.06,4855.21,1366.78,12,576,212,200,2473.0,4341.81,4572.81,4774.32
2,1000,1000,1.0,1.1,2109.0,2165.1,38.05,4190.93,1202.02,85,638,192,85,2165.1,3727.57,3900.69,4093.0
2,1000,1000,1.0,1.6,489.44,453.54,43.05,987.96,220.38,672,253,75,0,453.54,791.42,827.32,922.39
2,1000,1000,1.0,2.2,229.76,224.02,74.11,480.8,57.22,866,113,21,0,224.02,280.81,349.41,443.76
2,1000,1000,1.0,4.0,41.78,0.22,0.05,332.93,57.46,941,56,3,0,0.22,140.22,145.36,181.15
2,1000,1000,10.0,0.0,2880.97,2969.14,38.05,5726.99,1624.48,8,575,217,200,2969.14,5104.18,5358.24,5616.71
2,1000,1000,10.0,1.1,2745.93,2744.62,50.07,5567.37,1564.43,68,628,191,113,2744.62,4891.9,5221.78,5461.08
2,1000,1000,10.0,1.6,960.14,989.82,46.56,1846.65,488.12,646,280,74,0,989.82,1607.04,1661.61,1732.86
2,1000,1000,10.0,2.2,529.54,543.21,80.12,1071.22,217.62,857,123,20,0,543.21,820.86,836.55,915.94
2,1000,1000,10.0,4.0,139.98,153.48,23.68,324.3,51.82,886,111,3,0,153.48,195.42,200.43,217.42
2,1000,100000,0.2,0.0,30691.15,30698.28,4.01,61596.4,17973.23,1146,59984,9674,29196,30698.28,55515.19,58849.16,60882.74
2,1000,100000,0.2,1.1,13582.81,12649.45,0.13,27778.3,7218.71,9833,65880,5727,18560,12649.45,23281.06,25625.6,27222.62
2,1000,100000,0.2,1.6,50.49,0.26,0.05,311.38,66.25,58350,41465,164,21,0.26,164.26,182.29,182.29
2,1000,100000,0.2,2.2,22.73,0.1,0.05,182.29,49.51,79523,20476,1,0,0.1,110.17,152.24,182.29
2,1000,100000,0.2,4.0,8.53,0.12,0.05,176.28,32.19,93261,6739,0,0,0.12,0.12,80.12,146.23
2,1000,100000,1.0,0.0,238868.09,239244.01,38.05,477193.26,137734.0,1088,59148,9646,30118,239244.01,429292.01,453214.46,472168.0
2,1000,100000,1.0,1.1,209084.11,208736.05,38.05,418579.39,120798.19,9547,65441,6005,19007,208736.05,376958.32,397605.44,414093.99
2,1000,100000,1.0,1.6,42377.67,42205.13,38.05,84383.7,24730.7,69285,28625,665,1425,42205.13,76656.27,80325.45,83514.49
2,1000,100000,1.0,2.2,10.88,0.11,0.05,242.88,34.28,90522,9435,43,0,0.11,31.42,110.17,158.25
2,1000,100000,1.0,4.0,4.0,0.06,0.06,216.34,23.52,96862,3132,6,0,0.06,0.06,0.28,176.28
2,1000,100000,10.0,0.0,288287.96,288192.6,44.06,576263.99,166290.2,1054,58184,9544,31218,288192.6,518601.35,547422.14,570332.94
2,1000,100000,10.0,1.1,246038.05,246000.86,38.05,492168.74,141991.27,9826,66187,5921,18066,246000.86,442716.26,467136.11,487055.21
2,1000,100000,10.0,1.6,102562.84,102318.26,56.08,205694.57,59774.21,69147,28570,620,1663,102318.26,185152.57,195533.27,203707.1
2,1000,100000,10.0,2.2,20341.72,20496.36,29.92,40596.54,11589.09,91193,8627,175,5,20496.36,36363.68,38190.18,39916.06
2,1000,100000,10.0,4.0,2165.78,2359.2,134.21,5622.97,1427.9,99321,661,18,0,2359.2,4056.64,4764.92,5257.72
2,10000,1000,0.2,0.0,612.62,523.14,43.05,1394.58,326.21,0,54,223,723,523.14,1134.53,1208.27,1314.45
2,10000,1000,0.2,1.1,147.61,148.12,0.12,355.22,74.24,88,351,139,422,148.12,244.8,272.14,312.17
2,10000,1000,0.2,1.6,48.04,0.19,0.1,204.28,58.42,556,437,3,4,0.19,140.22,140.22,182.29
2,10000,1000,0.2,2.2,32.85,0.26,0.06,244.06,57.73,747,248,0,5,0.26,134.21,164.26,167.56
2,10000,1000,0.2,4.0,6.62,0.12,0.05,170.27,25.02,916,84,0,0,0.12,0.12,40.15,170.27
2,10000,1000,1.0,0.0,2550.91,2530.5,43.05,5170.52,1467.7,0,73,225,702,2530.5,4558.34,4884.99,5046.41
2,10000,1000,1.0,1.1,2457.71,2481.81,44.06,4910.54,1393.84,103,312,148,437,2481.81,4405.85,4606.01,4845.81
2,10000,1000,1.0,1.6,574.09,634.35,44.06,1157.56,277.84,698,224,13,65,634.35,913.93,953.24,1075.54
2,10000,1000,1.0,2.2,166.47,163.81,44.06,399.54,62.74,881,90,6,23,163.81,251.37,284.79,354.37
2,10000,1000,1.0,4.0,30.9,0.22,0.22,337.0,55.85,944,53,0,3,0.22,140.08,148.96,176.28
2,10000,1000,10.0,0.0,2918.82,2896.24,43.05,5897.76,1677.23,0,62,241,697,2896.24,5256.81,5550.88,5778.32
2,10000,1000,10.0,1.1,2558.61,2551.39,43.05,5122.23,1458.43,81,323,145,451,2551.39,4552.31,4836.58,5053.17
2,10000,1000,10.0,1.6,1308.08,1292.17,50.07,2706.13,711.45,664,232,23,81,1292.17,2300.65,2453.16,2578.53
2,10000,1000,10.0,2.2,568.35,613.51,50.07,1072.38,228.13,882,96,3,19,613.51,848.02,892.16,972.52
2,10000,1000,10.0,4.0,174.1,160.7,44.06,418.23,56.82,923,74,0,3,160.7,270.79,279.38,283.6
2,10000,100000,0.2,0.0,50037.44,49824.33,38.05,101077.24,29586.63,104,6323,23366,70207,49824.33,91622.05,96439.4,100081.52
2,10000,100000,0.2,1.1,41251.1,41729.86,19.71,81913.66,23191.63,8635,31761,14323,45281,41729.86,72753.18,77495.79,80994.52
