Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
2,1000,1000,0.2,0.0,48.93,48.97,0.05,115.76,20.41,17,926,57,0,48.97,75.48,77.89,100.1
2,1000,1000,0.2,1.1,42.5,41.74,0.06,130.49,22.74,115,857,28,0,41.74,70.66,75.48,89.84
2,1000,1000,0.2,1.6,18.98,0.19,0.05,77.89,25.26,608,392,0,0,0.19,56.2,65.84,77.89
2,1000,1000,0.2,2.2,10.24,0.17,0.06,77.89,21.21,793,206,1,0,0.17,48.97,56.2,77.89
2,1000,1000,0.2,4.0,3.59,0.13,0.13,70.66,12.48,926,74,0,0,0.13,0.16,39.33,63.43
2,1000,1000,1.0,0.0,1244.55,1243.61,22.46,2540.88,712.3,18,607,245,130,1243.61,2234.98,2366.66,2469.73
2,1000,1000,1.0,1.1,1043.11,1029.71,20.05,2134.52,606.79,104,614,204,78,1029.71,1902.15,1997.68,2084.07
2,1000,1000,1.0,1.6,55.51,51.74,0.05,197.74,34.85,744,194,62,0,51.74,99.71,122.65,157.26
2,1000,1000,1.0,2.2,11.11,0.19,0.08,129.29,22.22,871,121,8,0,0.19,53.79,62.15,88.06
2,1000,1000,1.0,4.0,5.44,0.25,0.12,93.25,15.55,952,47,1,0,0.25,23.06,39.3,68.25
2,1000,1000,10.0,0.0,1754.8,1784.26,20.05,3519.86,1009.9,11,604,210,175,1784.26,3155.81,3320.42,3439.5
2,1000,1000,10.0,1.1,1599.28,1611.83,22.46,3214.25,914.14,117,593,190,100,1611.83,2849.69,3030.31,3162.24
2,1000,1000,10.0,1.6,625.55,633.5,22.46,1186.87,324.44,716,214,70,0,633.5,1062.37,1108.59,1131.87
2,1000,1000,10.0,2.2,417.89,450.99,68.25,705.56,154.31,904,75,21,0,450.99,616.36,620.48,622.62
2,1000,1000,10.0,4.0,141.18,138.99,48.97,275.61,32.39,965,32,3,0,138.99,185.6,202.32,206.45
2,1000,100000,0.2,0.0,50.09,48.97,0.05,145.63,19.45,1152,92336,1686,4826,48.97,75.48,77.89,100.07
2,1000,100000,0.2,1.1,45.24,46.56,0.05,153.36,22.3,10183,87662,634,1521,46.56,73.07,77.89,83.02
2,1000,100000,0.2,1.6,21.48,0.29,0.05,109.4,28.24,59870,40104,26,0,0.29,65.84,75.48,77.89
2,1000,100000,0.2,2.2,8.66,0.23,0.05,86.43,18.54,80377,19620,3,0,0.23,32.1,58.61,65.84
2,1000,100000,0.2,4.0,2.87,0.1,0.07,77.89,11.2,93672,6328,0,0,0.1,0.1,32.1,73.07
2,1000,100000,1.0,0.0,127509.31,127627.16,20.05,254866.74,73543.84,1693,59583,9454,29270,127627.16,229496.55,242106.43,252394.7
2,1000,100000,1.0,1.1,121131.99,120901.51,20.05,243158.8,69954.19,12875,61849,5934,19342,120901.51,218294.62,230810.24,240580.91
2,1000,100000,1.0,1.6,5840.37,5706.69,0.05,11973.36,3684.58,74188,23646,676,1490,5706.69,10959.36,11184.48,11793.08
2,1000,100000,1.0,2.2,4.35,0.07,0.06,106.89,14.54,90999,8998,3,0,0.07,0.29,41.74,75.48
2,1000,100000,1.0,4.0,1.56,0.16,0.13,109.77,8.97,97493,2504,3,0,0.16,0.16,0.16,51.38
2,1000,100000,10.0,0.0,178214.29,178111.17,22.46,356590.26,102958.17,1652,58286,9692,30370,178111.17,321052.12,338786.81,352969.6
2,1000,100000,10.0,1.1,156505.49,156177.13,22.46,313877.18,90514.93,13271,61703,5980,19046,156177.13,282119.92,298001.87,310632.24
2,1000,100000,10.0,1.6,45251.59,45299.31,22.46,90545.89,26084.88,76186,21533,615,1666,45299.31,81322.59,85646.25,89414.05
2,1000,100000,10.0,2.2,26245.08,26594.19,29.69,51796.99,14761.3,92446,7373,181,0,26594.19,46650.6,48692.85,51197.94
2,1000,100000,10.0,4.0,3.34,0.21,0.05,220.33,18.7,99461,534,5,0,0.21,0.21,0.21,133.94
2,10000,1000,0.2,0.0,67.08,65.97,0.29,156.68,26.26,1,88,260,651,65.97,100.07,106.89,128.07
2,10000,1000,0.2,1.1,52.22,51.38,0.09,115.68,27.62,84,497,124,295,51.38,93.25,100.07,106.89
2,10000,1000,0.2,1.6,19.04,0.11,0.06,93.25,25.01,589,405,1,5,0.11,58.61,63.43,75.48
2,10000,1000,0.2,2.2,11.47,0.24,0.07,89.84,22.61,787,211,1,1,0.24,53.79,65.84,73.07
2,10000,1000,0.2,4.0,5.3,0.25,0.07,93.25,16.53,902,96,1,1,0.25,0.25,56.2,68.25
2,10000,1000,1.0,0.0,1406.69,1409.04,25.05,2906.45,842.49,0,65,241,694,1409.04,2561.17,2701.77,2859.5
2,10000,1000,1.0,1.1,1126.21,1142.63,20.05,2183.2,627.26,142,281,140,437,1142.63,1967.1,2044.09,2116.79
2,10000,1000,1.0,1.6,119.33,121.38,0.11,250.53,40.91,756,178,15,51,121.38,168.78,189.3,226.2
2,10000,1000,1.0,2.2,10.08,0.19,0.05,148.41,20.69,884,105,1,10,0.19,44.38,56.2,77.89
2,10000,1000,1.0,4.0,7.56,0.23,0.11,131.09,19.52,952,46,0,2,0.23,36.4,63.43,77.31
2,10000,1000,10.0,0.0,1974.76,2001.36,28.46,3956.0,1144.94,0,63,231,706,2001.36,3530.32,3752.16,3890.43
2,10000,1000,10.0,1.1,1483.36,1486.4,24.87,3029.73,879.32,113,284,151,452,1486.4,2674.81,2824.77,2953.88
2,10000,1000,10.0,1.6,550.61,574.5,22.46,1179.68,312.55,726,186,23,65,574.5,978.12,1045.43,1094.0
2,10000,1000,10.0,2.2,403.05,460.85,36.92,807.74,186.25,877,96,4,23,460.85,631.84,688.92,708.33
2,10000,1000,10.0,4.0,154.62,164.67,27.28,234.09,31.16,957,41,0,2,164.67,178.31,180.88,184.79
2,10000,100000,0.2,0.0,66.18,65.97,0.05,214.3,26.16,122,10464,24912,64502,65.97,101.39,106.89,122.56
2,10000,100000,0.2,1.1,54.29,55.74,0.05,161.01,28.1,9361,44631,12536,33472,55.74,93.25,100.07,106.89
2,10000,100000,0.2,1.6,20.47,0.25,0.05,106.89,26.97,59980,38939,299,782,0.25,65.84,70.66,75.48
2,10000,100000,0.2,2.2,11.03,0.29,0.05,123.06,22.98,79231,20743,7,19,0.29,53.79,68.25,77.89
2,10000,100000,0.2,4.0,4.45,0.15,0.05,77.89,16.23,92897,7103,0,0,0.15,0.15,44.15,77.89
2,10000,100000,1.0,0.0,146228.59,146546.05,25.05,292188.01,84379.53,144,6055,23576,70225,146546.05,263138.85,277669.75,289407.07
2,10000,100000,1.0,1.1,133456.24,133903.33,20.05,266121.03,76855.33,11463,29923,14370,44244,133903.33,239600.95,252933.08,263463.26
2,10000,100000,1.0,1.6,10864.43,11005.33,27.28,21357.21,6225.8,75595,16778,1713,5914,11005.33,19438.9,20282.02,21004.08
