Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
2,1000,1000,0.2,0.0,3.83,3.87,0.05,5.19,0.93,18,982,0,0,3.87,4.97,5.08,5.19
2,1000,1000,0.2,1.1,3.44,3.76,0.05,5.19,1.43,120,880,0,0,3.76,4.97,5.08,5.19
2,1000,1000,0.2,1.6,1.5,0.18,0.06,5.19,1.91,641,359,0,0,0.18,4.64,4.97,4.97
2,1000,1000,0.2,2.2,0.7,0.12,0.06,5.08,1.31,833,167,0,0,0.12,3.32,3.87,4.31
2,1000,1000,0.2,4.0,0.25,0.05,0.05,5.19,0.8,942,58,0,0,0.05,0.05,2.56,3.65
2,1000,1000,1.0,0.0,557.62,560.67,0.12,1117.04,322.94,22,582,225,171,560.67,1005.03,1055.68,1094.03
2,1000,1000,1.0,1.1,429.24,450.04,0.12,832.13,244.37,165,543,178,114,450.04,748.05,780.37,807.62
2,1000,1000,1.0,1.6,0.98,0.13,0.05,27.53,1.77,782,217,1,0,0.13,3.98,4.53,5.08
2,1000,1000,1.0,2.2,0.39,0.05,0.05,5.08,1.04,911,89,0,0,0.05,0.17,3.21,4.64
2,1000,1000,1.0,4.0,0.3,0.19,0.19,5.08,0.67,975,25,0,0,0.19,0.19,0.26,4.86
2,1000,1000,10.0,0.0,928.4,928.03,2.55,1936.09,561.19,25,585,247,143,928.03,1720.2,1813.78,1907.11
2,1000,1000,10.0,1.1,862.65,869.62,2.55,1723.23,498.45,174,524,205,97,869.62,1548.03,1631.53,1689.24
2,1000,1000,10.0,1.6,375.59,369.64,2.21,714.38,200.53,753,179,68,0,369.64,656.84,681.67,690.72
2,1000,1000,10.0,2.2,112.18,138.42,0.1,211.0,64.55,906,74,20,0,138.42,179.85,181.43,183.47
2,1000,1000,10.0,4.0,70.31,68.36,2.7,116.95,24.43,972,26,2,0,68.36,103.49,107.57,111.41
2,1000,100000,0.2,0.0,3.83,3.87,0.05,34.19,1.01,1197,98757,46,0,3.87,4.97,5.08,5.19
2,1000,100000,0.2,1.1,3.44,3.76,0.05,33.08,1.42,11612,88376,12,0,3.76,4.86,5.08,5.19
2,1000,100000,0.2,1.6,1.39,0.11,0.05,5.19,1.82,64501,35499,0,0,0.11,4.2,4.75,5.08
2,1000,100000,0.2,2.2,0.81,0.21,0.05,5.19,1.34,82214,17786,0,0,0.21,3.32,4.09,4.86
2,1000,100000,0.2,4.0,0.46,0.22,0.1,5.08,0.92,93078,6922,0,0,0.22,0.22,3.21,4.42
2,1000,100000,1.0,0.0,55130.15,55076.47,2.66,110746.14,31901.18,2852,57682,9463,30003,55076.47,99335.74,105102.66,109580.79
2,1000,100000,1.0,1.1,38442.02,38295.86,0.18,76743.42,22058.99,20049,55586,5890,18475,38295.86,69149.62,72871.56,75950.26
2,1000,100000,1.0,1.6,0.98,0.21,0.05,42.75,1.73,79870,20026,104,0,0.21,3.98,4.53,5.08
2,1000,100000,1.0,2.2,0.41,0.15,0.05,5.19,0.95,92494,7506,0,0,0.15,0.15,3.32,4.86
2,1000,100000,1.0,4.0,0.32,0.24,0.1,4.97,0.58,97814,2186,0,0,0.24,0.24,0.24,4.42
2,1000,100000,10.0,0.0,101711.13,101795.1,2.55,203399.99,58689.92,2734,57122,9437,30707,101795.1,183173.91,193268.47,201363.44
2,1000,100000,10.0,1.1,84667.0,84510.15,2.77,169303.26,48756.71,19710,55672,5870,18748,84510.15,152192.08,160673.19,167578.5
2,1000,100000,10.0,1.6,22967.16,23075.86,1.08,45732.42,13190.01,82518,15468,582,1432,23075.86,41220.79,43385.14,45246.47
2,1000,100000,10.0,2.2,14275.53,14481.45,0.14,28641.19,8296.55,94029,5789,175,7,14481.45,25680.95,27196.04,28316.07
2,1000,100000,10.0,4.0,0.1,0.07,0.07,4.97,0.24,99555,445,0,0,0.07,0.07,0.22,0.22
2,10000,1000,0.2,0.0,19.2,19.76,2.55,37.91,9.12,0,102,255,643,19.76,30.86,33.08,34.19
2,10000,1000,0.2,1.1,10.69,4.64,0.05,34.19,10.49,101,488,109,302,4.64,28.64,31.97,34.19
2,10000,1000,0.2,1.6,1.61,0.16,0.11,33.08,2.68,644,350,0,6,0.16,4.42,4.53,5.08
2,10000,1000,0.2,2.2,0.74,0.07,0.07,18.65,1.53,829,170,0,1,0.07,3.87,4.09,5.08
2,10000,1000,0.2,4.0,0.52,0.23,0.15,4.64,1.04,927,73,0,0,0.23,0.23,3.65,4.64
2,10000,1000,1.0,0.0,662.95,674.95,3.32,1355.51,387.46,1,71,228,700,674.95,1199.65,1275.82,1334.32
2,10000,1000,1.0,1.1,514.47,536.16,0.22,1001.14,298.37,191,237,136,436,536.16,914.32,948.22,980.59
2,10000,1000,1.0,1.6,0.93,0.1,0.06,33.08,2.28,813,181,2,4,0.1,3.98,4.64,5.19
2,10000,1000,1.0,2.2,0.54,0.25,0.05,4.97,1.07,917,83,0,0,0.25,0.25,3.98,4.75
2,10000,1000,1.0,4.0,0.33,0.22,0.05,4.42,0.63,971,29,0,0,0.22,0.22,0.22,4.42
2,10000,1000,10.0,0.0,1123.4,1124.76,3.1,2290.13,663.5,0,60,232,708,1124.76,2039.58,2159.04,2268.96
2,10000,1000,10.0,1.1,879.17,886.04,0.05,1817.36,529.96,164,252,144,440,886.04,1621.46,1698.83,1776.11
2,10000,1000,10.0,1.6,233.99,234.22,0.05,517.62,145.0,777,143,22,58,234.22,442.86,464.28,498.19
