Timestamp,StatusCode,E2ELatency,InternalLatency
2,500,9.108,9.103
2,500,0.007,0.004
2,500,0.007,0.004
2,200,24.867,24.865
2,200,17.137,17.133
3,200,0.982,0.978
3,200,0.123,0.121
3,200,0.125,0.121
4,200,0.121,0.116
4,200,0.18,0.177
4,200,0.115,0.113
4,200,0.116,0.114
5,200,0.116,0.114
13,500,9.29,9.285
13,200,29.122,29.117
14,200,0.119,0.117
16,500,9.621,9.616
16,200,26.975,26.97
17,200,0.122,0.119
17,200,0.126,0.124
17,200,0.126,0.124
17,200,0.119,0.117
17,200,0.12,0.118
19,500,9.078,9.073
19,500,0.006,0.004
19,200,17.484,17.479
20,200,0.119,0.117
22,500,9.312,9.308
22,200,31.481,31.476
26,500,8.772,8.767
27,200,0.995,0.99
31,500,9.318,9.313
31,200,29.313,29.309
32,200,0.117,0.115
32,200,0.127,0.123
32,200,0.125,0.122
33,200,0.12,0.115
33,200,0.119,0.116
33,200,0.116,0.114
33,200,0.116,0.113
34,200,0.115,0.113
34,200,0.118,0.114
34,200,0.117,0.114
35,200,0.117,0.113
44,500,9.623,9.619
46,500,9.837,9.833
46,500,0.006,0.004
46,200,24.369,24.363
47,200,0.981,0.976
47,200,0.13,0.126
48,200,0.131,0.127
49,200,0.121,0.117
51,500,9.318,9.314
52,200,0.988,0.984
53,200,0.128,0.124
53,200,0.131,0.127
55,500,8.86,8.855
59,500,9.207,9.203
60,200,2.73,2.726
61,200,0.973,0.969
61,200,0.127,0.123
62,200,0.13,0.126
62,200,0.121,0.117
62,200,0.117,0.113
64,500,8.862,8.858
64,500,0.006,0.003
64,200,19.074,19.07
65,200,0.12,0.118
65,200,0.129,0.127
65,200,0.128,0.126
65,200,0.119,0.116
69,500,9.306,9.301
71,500,9.484,9.479
73,500,9.812,9.808
73,500,0.007,0.004
73,200,32.924,32.921
73,200,13.922,13.918
74,200,0.12,0.118
74,200,0.129,0.125
74,200,0.132,0.128
75,200,0.13,0.126
76,200,0.122,0.118
76,200,0.123,0.119
76,200,0.121,0.118
77,200,0.12,0.116
78,200,0.12,0.116
79,200,0.122,0.118
79,200,0.121,0.116
81,500,9.728,9.724
82,200,5.2,5.195
85,500,9.279,9.274
85,200,22.624,22.62
86,200,0.126,0.124
86,200,0.99,0.988
86,200,0.126,0.124
86,200,0.126,0.124
87,200,0.125,0.122
88,200,0.121,0.117
89,200,0.122,0.118
91,500,9.029,9.025
91,200,26.866,26.862
93,200,51.136,51.132
93,500,6.904,6.899
93,200,27.939,27.936
94,200,0.127,0.124
104,500,9.352,9.347
105,200,0.972,0.968
105,200,0.131,0.127
109,500,9.951,9.946
109,200,31.381,31.376
110,200,1.021,1.016
111,200,0.132,0.127
111,200,0.128,0.124
111,200,0.121,0.117
115,500,9.552,9.547
115,200,27.211,27.127
117,200,59.31,59.306
121,500,9.455,9.45
121,500,0.007,0.004
121,200,28.479,28.476
121,200,13.598,13.594
122,200,0.112,0.11
122,200,0.123,0.121
122,200,0.132,0.127
122,200,0.118,0.115
123,200,0.116,0.113
123,200,0.116,0.113
123,200,0.116,0.113
123,200,0.116,0.113
123,200,0.116,0.114
124,200,0.116,0.113
124,200,0.116,0.114
124,200,0.116,0.113
124,200,0.115,0.113
124,200,0.116,0.114
125,200,0.116,0.114
125,200,0.116,0.114
125,200,0.114,0.112
125,200,0.115,0.112
133,500,9.55,9.546
133,500,0.006,0.004
133,500,0.007,0.005
133,200,27.934,27.931
133,200,18.046,18.042
133,200,11.041,11.037
134,200,0.122,0.12
134,200,0.128,0.125
134,200,0.126,0.124
134,200,0.12,0.118
