Timestamp,StatusCode,E2ELatency,InternalLatency
1,500,0.034,0.026
1,500,0.005,0.003
1,500,0.007,0.005
1,500,0.004,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.004,0.003
1,500,0.006,0.005
1,500,0.004,0.003
1,500,0.005,0.003
1,500,0.006,0.004
1,500,0.005,0.003
1,500,0.006,0.004
1,500,0.004,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.004,0.002
1,500,0.004,0.003
1,500,0.004,0.003
1,500,0.004,0.002
1,500,0.004,0.003
1,500,0.004,0.003
1,500,0.004,0.003
1,500,0.004,0.003
1,200,25.333,25.329
1,500,12.475,12.47
1,502,11.934,11.928
1,500,11.393,11.387
1,502,10.846,10.842
1,500,10.296,10.293
1,502,9.753,9.72
1,500,9.206,9.203
1,502,8.66,8.657
1,500,8.117,8.112
1,502,7.57,7.566
1,500,7.027,7.024
1,502,6.479,6.476
1,500,5.935,5.932
1,502,5.389,5.381
1,500,4.846,4.843
1,502,4.301,4.298
1,500,3.756,3.752
1,502,3.209,3.206
1,500,2.668,2.663
1,502,2.121,2.117
1,500,1.575,1.572
1,502,1.028,1.025
1,500,0.484,0.481
1,500,0.005,0.003
1,500,0.007,0.005
1,500,0.006,0.004
1,500,0.006,0.004
1,500,0.007,0.004
1,500,0.007,0.004
1,500,0.006,0.004
1,500,0.007,0.004
1,500,0.007,0.004
1,500,0.006,0.004
1,500,0.006,0.004
1,500,0.008,0.006
1,500,0.006,0.004
1,500,0.006,0.004
1,500,0.007,0.004
1,500,0.006,0.004
1,500,0.006,0.004
1,500,0.007,0.004
1,500,0.006,0.004
1,500,0.008,0.005
1,500,0.008,0.005
1,500,0.007,0.005
1,500,0.007,0.004
1,200,0.115,0.113
1,200,0.115,0.112
1,200,0.113,0.11
1,200,0.114,0.111
1,200,0.115,0.112
1,200,0.114,0.111
1,200,0.112,0.11
1,200,0.111,0.109
1,200,0.114,0.111
1,200,0.114,0.112
1,200,0.115,0.111
1,200,0.115,0.112
1,200,0.114,0.112
1,200,0.114,0.112
1,200,0.114,0.112
1,200,0.113,0.111
1,200,0.115,0.112
1,200,0.116,0.113
1,200,0.115,0.113
1,200,0.113,0.11
1,200,0.115,0.112
1,200,0.116,0.113
1,200,0.115,0.113
1,200,0.118,0.116
1,200,0.121,0.117
1,200,0.166,0.163
1,200,0.12,0.117
1,200,0.189,0.186
1,200,0.13,0.127
1,200,0.121,0.118
1,200,0.266,0.263
1,200,0.116,0.114
1,200,0.117,0.115
1,200,0.134,0.131
1,200,0.164,0.161
1,200,0.132,0.13
2,200,0.116,0.114
2,200,0.115,0.113
2,200,0.12,0.117
2,200,0.117,0.115
2,200,0.117,0.115
2,200,0.119,0.116
2,200,0.128,0.126
2,200,0.119,0.115
2,200,0.215,0.212
2,200,0.115,0.112
2,200,0.116,0.114
2,200,0.125,0.123
2,200,0.114,0.112
2,200,0.131,0.129
2,200,0.356,0.354
2,200,0.125,0.122
2,200,0.119,0.116
2,200,0.115,0.113
2,200,0.116,0.114
2,200,0.117,0.115
2,200,0.119,0.117
2,200,0.124,0.122
2,200,0.116,0.114
2,200,0.142,0.14
2,200,0.115,0.113
2,200,0.126,0.119
2,200,0.117,0.115
2,200,0.113,0.111
2,200,0.406,0.403
2,200,0.122,0.12
2,200,0.12,0.117
2,200,0.235,0.233
2,200,0.114,0.112
2,200,0.116,0.115
2,200,0.123,0.121
2,200,0.114,0.112
2,200,0.221,0.219
2,200,0.117,0.115
2,200,0.126,0.124
2,200,0.126,0.12
2,200,0.119,0.118
2,200,0.169,0.167
2,200,0.119,0.117
2,200,0.117,0.115
2,200,0.124,0.122
2,200,0.122,0.12
2,200,0.119,0.117
2,200,0.115,0.114
2,200,0.128,0.123
2,200,0.135,0.133
2,200,0.116,0.114
2,200,0.116,0.114
2,200,0.121,0.119
2,200,0.122,0.116
2,200,0.119,0.117
2,200,0.12,0.118
2,200,0.119,0.117
2,200,0.118,0.116
2,200,0.117,0.116
2,200,0.114,0.112
2,200,0.115,0.113
2,200,0.124,0.122
2,200,0.123,0.119
2,200,0.118,0.116
2,200,0.116,0.114
2,200,0.145,0.143
2,200,0.121,0.118
2,200,0.119,0.116
2,200,0.231,0.229
2,200,0.125,0.123
2,200,0.118,0.116
2,200,0.121,0.118
2,200,0.121,0.119
2,200,0.122,0.12
2,200,0.121,0.119
2,200,0.124,0.122
2,200,0.13,0.124
2,200,0.123,0.121
2,200,0.123,0.121
2,200,0.135,0.133
2,200,0.122,0.12
2,200,0.118,0.117
2,200,0.115,0.114
2,200,0.119,0.118
2,200,0.121,0.119
2,200,0.119,0.116
2,200,0.119,0.117
2,200,0.118,0.116
2,200,0.116,0.114
2,200,0.123,0.121
2,200,0.116,0.115
2,200,0.12,0.118
2,200,0.119,0.117
2,200,0.12,0.118
2,200,0.128,0.125
2,200,0.121,0.119
2,200,0.12,0.118
2,200,0.121,0.119
2,200,0.122,0.119
2,200,0.119,0.117
2,200,0.119,0.117
2,200,0.119,0.116
2,200,0.118,0.116
2,200,0.124,0.122
2,200,0.119,0.117
2,200,0.12,0.118
2,200,0.118,0.116
2,200,0.124,0.121
2,200,0.123,0.121
2,200,0.119,0.117
2,200,0.121,0.119
2,200,0.127,0.125
2,200,0.126,0.123
2,200,0.119,0.117
2,200,0.119,0.117
3,200,0.117,0.114
3,200,0.119,0.117
3,200,0.119,0.117
3,200,0.131,0.128
3,200,0.121,0.119
3,200,0.127,0.117
3,200,0.12,0.118
3,200,0.116,0.114
3,200,0.118,0.116
3,200,0.118,0.115
3,200,0.117,0.115
3,200,0.116,0.114
3,200,0.118,0.116
3,200,0.12,0.117
3,200,0.114,0.112
3,200,0.111,0.109
3,200,0.12,0.118
3,200,0.117,0.113
3,200,0.114,0.112
3,200,0.112,0.11
3,200,0.113,0.11
3,200,0.113,0.111
3,200,0.116,0.114
3,200,0.11,0.109
3,200,0.112,0.11
3,200,0.111,0.109
3,200,0.113,0.111
3,200,0.111,0.109
3,200,0.112,0.11
3,200,0.237,0.235
3,200,0.113,0.111
3,200,0.111,0.109
3,200,0.11,0.108
3,200,0.112,0.11
3,200,0.11,0.108
3,200,0.11,0.109
3,200,0.109,0.108
3,200,0.108,0.107
3,200,0.11,0.108
3,200,0.111,0.109
3,200,0.109,0.108
3,200,0.109,0.107
3,200,0.108,0.107
3,200,0.109,0.107
3,200,0.109,0.107
3,200,0.11,0.109
3,200,0.108,0.107
3,200,0.109,0.107
3,200,0.109,0.107
3,200,0.109,0.108
3,200,0.108,0.107
3,200,0.109,0.107
3,200,0.11,0.108
3,200,0.11,0.108
3,200,0.11,0.108
3,200,0.11,0.108
3,200,0.109,0.108
3,200,0.109,0.108
3,200,0.11,0.108
3,200,0.11,0.109
3,200,0.113,0.111
3,200,0.109,0.108
3,200,0.109,0.108
3,200,0.109,0.107
3,200,0.111,0.11
3,200,0.109,0.107
3,200,0.111,0.108
3,200,0.111,0.107
3,200,0.109,0.108
3,200,0.109,0.108
3,200,0.11,0.109
3,200,0.11,0.109
3,200,0.11,0.108
3,200,0.109,0.108
3,200,0.109,0.108
3,200,0.109,0.108
3,200,0.109,0.108
3,200,0.115,0.113
3,200,0.111,0.109
3,200,0.111,0.109
3,200,0.11,0.108
3,200,0.109,0.108
3,200,0.109,0.108
3,200,0.109,0.108
3,200,0.109,0.107
3,200,0.111,0.109
3,200,0.113,0.111
3,200,0.11,0.109
3,200,0.11,0.109
3,200,0.11,0.109
3,200,0.111,0.109
3,200,0.11,0.108
3,200,0.112,0.11
3,200,0.116,0.114
3,200,0.112,0.11
3,200,0.112,0.11
3,200,0.11,0.108
3,200,0.109,0.107
3,200,0.112,0.11
3,200,0.111,0.109
3,200,0.109,0.108
3,200,0.111,0.109
3,200,0.11,0.109
3,200,0.11,0.108
3,200,0.109,0.107
3,200,0.108,0.107
