Timestamp,StatusCode,E2ELatency,InternalLatency
1,500,0.021,0.017
3,200,0.969,0.965
3,200,0.13,0.126
6,200,0.127,0.124
9,200,0.125,0.121
10,200,0.12,0.117
10,200,0.121,0.117
12,200,0.119,0.116
12,200,0.119,0.115
12,200,0.119,0.115
13,200,0.119,0.115
16,200,0.12,0.116
16,200,0.119,0.115
16,200,0.119,0.116
17,200,0.12,0.116
17,200,0.118,0.116
17,200,0.117,0.115
17,200,0.12,0.118
17,200,0.118,0.116
17,200,0.122,0.12
19,200,0.121,0.117
21,200,0.127,0.123
22,200,0.121,0.117
22,200,0.118,0.116
22,200,0.117,0.115
22,200,0.118,0.116
24,200,0.119,0.115
25,200,0.121,0.117
25,200,0.119,0.115
25,200,0.12,0.116
26,200,0.119,0.116
26,200,0.12,0.116
27,200,0.119,0.115
31,200,0.121,0.117
31,200,0.117,0.115
31,200,0.118,0.116
31,200,0.118,0.115
33,200,0.119,0.115
33,200,0.119,0.117
33,200,0.117,0.115
33,200,0.119,0.117
33,200,0.12,0.118
33,200,0.118,0.116
35,200,0.119,0.115
37,200,0.12,0.116
38,200,0.119,0.115
41,200,0.12,0.116
43,200,0.119,0.116
43,200,0.119,0.115
44,200,0.119,0.115
44,200,0.119,0.115
44,200,0.118,0.115
45,200,0.119,0.116
46,200,0.12,0.116
46,200,0.119,0.115
47,200,0.121,0.117
50,200,0.119,0.116
51,200,0.119,0.115
53,200,0.121,0.117
56,200,0.119,0.116
56,200,0.119,0.115
57,200,0.119,0.116
57,200,0.12,0.117
57,200,0.119,0.116
62,200,0.12,0.116
64,200,0.12,0.116
64,200,0.12,0.117
64,200,0.119,0.116
65,200,0.119,0.116
66,200,0.119,0.115
67,200,0.12,0.117
67,200,0.12,0.116
68,200,0.119,0.115
68,200,0.119,0.116
69,200,0.12,0.116
70,200,0.187,0.183
70,200,0.117,0.115
70,200,0.116,0.114
70,200,0.121,0.119
71,200,0.117,0.115
72,200,0.119,0.115
73,200,0.119,0.116
73,200,0.119,0.115
74,200,0.118,0.114
75,200,0.125,0.121
76,200,0.119,0.115
76,200,0.12,0.116
77,200,0.119,0.115
78,200,0.119,0.115
79,200,0.12,0.116
79,200,0.122,0.119
88,200,0.12,0.116
90,200,0.119,0.116
91,200,0.119,0.116
91,200,0.119,0.117
91,200,0.118,0.116
91,200,0.118,0.116
92,200,0.117,0.114
92,200,0.123,0.119
92,200,0.118,0.114
96,200,0.118,0.114
97,200,0.118,0.115
98,200,0.119,0.115
99,200,0.118,0.115
100,200,0.118,0.115
101,200,0.118,0.115
104,200,0.127,0.118
104,200,0.117,0.115
104,200,0.117,0.115
104,200,0.119,0.116
104,200,0.117,0.115
106,200,0.12,0.116
108,200,0.118,0.114
108,200,0.119,0.115
109,200,0.118,0.114
109,200,0.12,0.117
110,200,0.118,0.114
110,200,0.119,0.115
113,200,0.119,0.116
114,200,0.118,0.114
115,200,0.12,0.115
115,200,0.119,0.116
115,200,0.12,0.116
116,200,0.119,0.115
