Timestamp,StatusCode,E2ELatency,InternalLatency
2,200,1.033,1.029
2,200,0.125,0.123
2,200,0.124,0.122
2,200,0.117,0.115
2,200,0.116,0.114
3,200,0.117,0.115
3,200,0.121,0.117
3,200,0.118,0.115
4,200,0.117,0.114
4,200,0.116,0.114
4,200,0.116,0.114
4,200,0.116,0.114
5,200,0.115,0.113
13,200,0.118,0.114
13,200,0.117,0.113
14,200,0.117,0.113
16,200,0.117,0.113
16,200,0.117,0.113
17,200,0.118,0.114
17,200,0.115,0.113
17,200,0.115,0.113
17,200,0.117,0.114
17,200,0.115,0.113
19,200,0.118,0.114
19,200,0.117,0.114
19,200,0.117,0.114
20,200,0.117,0.113
22,200,0.118,0.115
22,200,0.118,0.114
26,200,0.119,0.115
27,200,0.124,0.12
31,200,0.118,0.115
31,200,0.118,0.114
32,200,0.118,0.115
32,200,0.118,0.114
32,200,0.118,0.114
33,200,0.118,0.114
33,200,0.118,0.115
33,200,0.116,0.114
33,200,0.116,0.114
34,200,0.117,0.115
34,200,0.121,0.118
34,200,0.118,0.114
35,200,0.117,0.114
44,200,0.117,0.114
46,200,0.118,0.114
46,200,0.117,0.113
46,200,0.117,0.114
47,200,0.117,0.114
47,200,0.118,0.114
48,200,0.118,0.114
49,200,0.117,0.113
51,200,0.118,0.114
52,200,0.117,0.114
53,200,0.117,0.114
53,200,0.117,0.113
55,200,0.117,0.113
59,200,0.118,0.114
60,200,0.119,0.115
61,200,0.118,0.114
61,200,0.119,0.114
62,200,0.118,0.114
62,200,0.119,0.115
62,200,0.118,0.115
64,200,0.118,0.114
64,200,0.117,0.113
64,200,0.117,0.113
65,200,0.117,0.113
65,200,0.116,0.114
65,200,0.116,0.115
65,200,0.115,0.113
69,200,0.116,0.113
71,200,0.118,0.114
73,200,0.183,0.179
73,200,0.115,0.113
73,200,0.115,0.113
73,200,0.121,0.119
74,200,0.115,0.114
74,200,0.117,0.113
74,200,0.117,0.114
75,200,0.117,0.113
76,200,0.117,0.114
76,200,0.117,0.113
76,200,0.116,0.113
77,200,0.118,0.114
78,200,0.117,0.114
79,200,0.12,0.116
79,200,0.117,0.113
81,200,0.121,0.117
82,200,0.117,0.114
85,200,0.117,0.113
85,200,0.117,0.114
86,200,0.117,0.114
86,200,0.116,0.114
86,200,0.116,0.114
86,200,0.115,0.113
87,200,0.115,0.113
88,200,0.118,0.114
89,200,0.116,0.113
91,200,0.117,0.114
91,200,0.117,0.113
93,200,0.117,0.114
93,200,0.116,0.113
93,200,0.116,0.113
94,200,0.117,0.114
104,200,0.117,0.113
105,200,0.117,0.113
105,200,0.117,0.113
109,200,0.117,0.114
109,200,0.118,0.114
110,200,0.12,0.117
111,200,0.118,0.114
111,200,0.116,0.113
111,200,0.117,0.113
115,200,0.118,0.115
115,200,0.117,0.113
117,200,0.117,0.113
121,200,0.117,0.114
121,200,0.117,0.115
121,200,0.116,0.114
121,200,0.115,0.113
122,200,0.115,0.113
122,200,0.116,0.114
122,200,0.116,0.114
122,200,0.116,0.114
123,200,0.122,0.12
123,200,0.115,0.113
123,200,0.115,0.113
123,200,0.115,0.113
123,200,0.116,0.113
124,200,0.116,0.113
124,200,0.115,0.113
124,200,0.115,0.113
124,200,0.116,0.114
124,200,0.115,0.113
125,200,0.116,0.114
125,200,0.116,0.114
125,200,0.115,0.113
125,200,0.115,0.113
133,200,0.119,0.115
133,200,0.115,0.113
133,200,0.116,0.114
133,200,0.115,0.113
133,200,0.114,0.113
133,200,0.115,0.113
134,200,0.114,0.113
134,200,0.115,0.113
134,200,0.115,0.113
134,200,0.116,0.114
134,200,0.115,0.113
134,200,0.115,0.113
134,200,0.117,0.114
135,200,0.115,0.113
135,200,0.114,0.113
135,200,0.115,0.113
135,200,0.115,0.113
135,200,0.116,0.114
136,200,0.115,0.113
136,200,0.115,0.113
136,200,0.115,0.113
136,200,0.115,0.113
137,200,0.115,0.113
137,200,0.116,0.113
137,200,0.116,0.113
140,200,0.12,0.116
140,200,0.117,0.113
140,200,0.116,0.113
142,200,0.116,0.113
143,200,0.117,0.114
146,200,0.117,0.113
147,200,0.117,0.113
147,200,0.117,0.113
151,200,0.117,0.113
151,200,0.115,0.113
151,200,0.115,0.113
151,200,0.115,0.113
151,200,0.115,0.113
152,200,0.115,0.113
152,200,0.115,0.113
152,200,0.116,0.114
152,200,0.115,0.113
152,200,0.116,0.114
153,200,0.115,0.113
153,200,0.115,0.113
153,200,0.115,0.113
153,200,0.115,0.113
153,200,0.115,0.113
154,200,0.115,0.113
154,200,0.115,0.113
154,200,0.116,0.114
154,200,0.117,0.115
154,200,0.117,0.115
154,200,0.116,0.114
154,200,0.116,0.114
155,200,0.115,0.113
155,200,0.115,0.113
155,200,0.115,0.113
155,200,0.119,0.117
163,200,0.117,0.114
163,200,0.117,0.113
164,200,0.117,0.113
169,200,0.117,0.113
169,200,0.116,0.113
169,200,0.117,0.114
170,200,0.117,0.113
170,200,0.114,0.112
170,200,0.115,0.113
170,200,0.114,0.113
170,200,0.115,0.113
170,200,0.115,0.113
171,200,0.115,0.113
171,200,0.115,0.113
171,200,0.115,0.113
171,200,0.115,0.113
171,200,0.115,0.113
172,200,0.115,0.113
172,200,0.115,0.113
172,200,0.114,0.112
172,200,0.114,0.112
172,200,0.114,0.113
172,200,0.114,0.112
173,200,0.114,0.112
173,200,0.119,0.115
173,200,0.122,0.119
175,200,0.117,0.114
176,200,0.117,0.114
178,200,0.117,0.113
178,200,0.117,0.113
180,200,0.117,0.114
181,200,0.119,0.115
181,200,0.114,0.112
181,200,0.112,0.11
181,200,0.113,0.111
181,200,0.114,0.112
181,200,0.114,0.112
181,200,0.113,0.111
181,200,0.111,0.11
181,200,0.113,0.111
181,200,0.113,0.111
181,200,0.114,0.112
181,200,0.112,0.11
181,200,0.114,0.112
181,200,0.113,0.111
181,200,0.112,0.11
181,200,0.113,0.111
181,200,0.111,0.11
181,200,0.114,0.112
182,200,0.113,0.111
182,200,0.114,0.112
182,200,0.115,0.113
182,200,0.112,0.111
182,200,0.115,0.113
182,200,0.114,0.112
182,200,0.113,0.111
182,200,0.115,0.113
182,200,0.113,0.112
182,200,0.115,0.113
182,200,0.113,0.111
182,200,0.113,0.111
182,200,0.113,0.111
182,200,0.112,0.11
182,200,0.113,0.112
182,200,0.112,0.11
183,200,0.114,0.112
183,200,0.113,0.111
183,200,0.113,0.111
183,200,0.113,0.111
183,200,0.115,0.113
183,200,0.114,0.112
183,200,0.113,0.111
183,200,0.114,0.112
183,200,0.112,0.11
183,200,0.114,0.112
183,200,0.113,0.111
183,200,0.113,0.111
183,200,0.113,0.111
183,200,0.113,0.111
184,200,0.114,0.112
184,200,0.114,0.112
184,200,0.113,0.111
184,200,0.112,0.11
184,200,0.112,0.11
184,200,0.115,0.113
184,200,0.114,0.112
184,200,0.112,0.11
184,200,0.112,0.11
184,200,0.112,0.11
184,200,0.112,0.11
184,200,0.114,0.112
184,200,0.112,0.11
184,200,0.114,0.112
184,200,0.114,0.112
184,200,0.111,0.11
184,200,0.114,0.112
184,200,0.113,0.111
184,200,0.112,0.11
184,200,0.178,0.176
185,200,0.113,0.111
185,200,0.115,0.113
185,200,0.115,0.114
185,200,0.115,0.113
187,200,0.116,0.112
193,200,0.117,0.114
193,200,0.113,0.111
193,200,0.112,0.111
193,200,0.113,0.112
193,200,0.113,0.111
193,200,0.114,0.112
193,200,0.112,0.111
193,200,0.113,0.111
193,200,0.111,0.109
193,200,0.112,0.11
193,200,0.112,0.11
193,200,0.11,0.109
193,200,0.113,0.111
193,200,0.113,0.111
193,200,0.111,0.109
193,200,0.111,0.109
193,200,0.111,0.11
193,200,0.111,0.109
193,200,0.114,0.112
194,200,0.113,0.111
194,200,0.112,0.11
194,200,0.111,0.11
194,200,0.112,0.111
194,200,0.114,0.112
194,200,0.115,0.112
194,200,0.111,0.109
194,200,0.112,0.11
194,200,0.112,0.11
194,200,0.113,0.11
194,200,0.111,0.11
194,200,0.112,0.11
194,200,0.113,0.111
194,200,0.114,0.112
194,200,0.112,0.11
194,200,0.112,0.11
194,200,0.112,0.109
195,200,0.112,0.11
195,200,0.111,0.109
195,200,0.111,0.11
195,200,0.111,0.109
195,200,0.111,0.109
195,200,0.115,0.113
195,200,0.112,0.111
195,200,0.112,0.11
195,200,0.112,0.11
195,200,0.112,0.11
195,200,0.112,0.11
195,200,0.11,0.109
195,200,0.111,0.109
195,200,0.112,0.11
195,200,0.114,0.111
195,200,0.112,0.111
195,200,0.113,0.111
195,200,0.111,0.11
196,200,0.111,0.109
196,200,0.112,0.11
196,200,0.111,0.109
196,200,0.111,0.109
196,200,0.111,0.11
196,200,0.113,0.111
196,200,0.113,0.111
196,200,0.112,0.11
196,200,0.111,0.109
196,200,0.117,0.115
196,200,0.111,0.109
196,200,0.115,0.113
196,200,0.111,0.11
196,200,0.111,0.11
196,200,0.11,0.109
196,200,0.112,0.11
196,200,0.112,0.11
196,200,0.112,0.11
196,200,0.11,0.109
196,200,0.112,0.11
196,200,0.111,0.11
197,200,0.111,0.109
197,200,0.113,0.112
197,200,0.113,0.112
197,200,0.114,0.112
197,200,0.113,0.111
197,200,0.113,0.111
197,200,0.114,0.112
197,200,0.114,0.112
197,200,0.114,0.112
197,200,0.113,0.111
199,200,0.115,0.112
199,200,0.114,0.112
199,200,0.113,0.112
199,200,0.114,0.112
199,200,0.115,0.113
200,200,0.114,0.112
200,200,0.115,0.111
200,200,0.116,0.112
201,200,0.116,0.112
201,200,0.115,0.113
201,200,0.114,0.112
201,200,0.114,0.112
201,200,0.114,0.112
201,200,0.115,0.112
202,200,0.114,0.112
202,200,0.114,0.112
202,200,0.117,0.114
202,200,0.115,0.113
202,200,0.114,0.112
202,200,0.114,0.112
202,200,0.114,0.112
203,200,0.114,0.112
203,200,0.114,0.112
203,200,0.114,0.112
203,200,0.114,0.112
203,200,0.114,0.112
205,200,0.117,0.113
