Timestamp,StatusCode,E2ELatency,InternalLatency
1,500,0.034,0.028
1,500,0.006,0.004
1,500,0.006,0.004
1,500,0.005,0.003
1,500,0.005,0.004
1,500,0.005,0.003
1,500,0.004,0.003
1,500,0.004,0.003
1,500,0.004,0.003
1,500,0.004,0.003
1,500,0.004,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.006,0.004
1,500,0.005,0.003
1,500,0.004,0.003
1,500,0.004,0.003
1,500,0.004,0.002
1,500,0.006,0.004
1,500,0.004,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,200,4.284,4.282
1,200,3.857,3.853
1,200,3.423,3.42
1,200,2.987,2.985
1,200,2.559,2.555
1,200,2.132,2.128
1,200,1.697,1.694
1,200,1.261,1.258
1,200,0.825,0.823
1,200,0.389,0.387
1,200,0.115,0.113
1,200,0.114,0.112
1,200,0.115,0.113
1,200,0.114,0.112
1,200,0.114,0.113
1,200,0.117,0.115
1,200,0.117,0.115
1,200,0.116,0.114
1,200,0.117,0.115
1,200,0.121,0.119
1,200,0.117,0.114
1,200,0.117,0.116
1,200,0.113,0.112
1,200,0.112,0.111
1,200,0.116,0.115
1,200,0.115,0.113
1,200,0.113,0.111
1,200,0.114,0.113
1,200,0.115,0.113
1,200,0.113,0.111
1,200,0.112,0.11
1,200,0.112,0.111
1,200,0.112,0.11
1,200,0.112,0.111
1,200,0.114,0.112
1,200,0.112,0.111
1,200,0.112,0.111
1,200,0.112,0.11
1,200,0.114,0.112
1,200,0.112,0.111
1,200,0.112,0.11
1,200,0.112,0.11
1,200,0.114,0.112
1,200,0.113,0.112
1,200,0.112,0.11
1,200,0.113,0.111
1,200,0.113,0.111
1,200,0.112,0.11
1,200,0.112,0.111
1,200,0.114,0.113
1,200,0.114,0.112
1,200,0.113,0.111
1,200,0.112,0.111
1,200,0.112,0.11
1,200,0.112,0.11
1,200,0.113,0.111
1,200,0.111,0.109
1,200,0.112,0.111
1,200,0.112,0.11
1,200,0.113,0.111
1,200,0.114,0.112
1,200,0.113,0.112
1,200,0.114,0.112
1,200,0.111,0.11
1,200,0.111,0.11
1,200,0.111,0.11
1,200,0.111,0.11
1,200,0.111,0.109
1,200,0.11,0.109
1,200,0.112,0.11
1,200,0.111,0.11
1,200,0.113,0.111
1,200,0.111,0.109
1,200,0.111,0.11
1,200,0.111,0.11
1,200,0.112,0.11
1,200,0.112,0.11
1,200,0.111,0.11
1,200,0.113,0.111
1,200,0.112,0.11
1,200,0.113,0.111
1,200,0.112,0.11
1,200,0.111,0.109
1,200,0.111,0.11
1,200,0.12,0.118
1,200,0.113,0.111
1,200,0.111,0.109
2,200,0.111,0.109
2,200,0.111,0.11
2,200,0.114,0.112
2,200,0.111,0.11
2,200,0.112,0.11
2,200,0.112,0.111
2,200,0.111,0.11
2,200,0.112,0.11
2,200,0.112,0.11
2,200,0.113,0.111
2,200,0.114,0.112
2,200,0.112,0.111
2,200,0.113,0.112
2,200,0.112,0.111
2,200,0.112,0.11
2,200,0.111,0.11
2,200,0.111,0.11
2,200,0.111,0.11
2,200,0.111,0.109
2,200,0.111,0.11
2,200,0.112,0.111
2,200,0.114,0.112
2,200,0.112,0.111
2,200,0.111,0.11
2,200,0.358,0.356
2,200,0.114,0.112
2,200,0.114,0.113
2,200,0.114,0.113
2,200,0.112,0.11
2,200,0.114,0.113
2,200,0.113,0.112
2,200,0.112,0.111
