Timestamp,StatusCode,E2ELatency,InternalLatency
1,500,0.022,0.017
3,500,9.555,9.55
3,200,1.015,1.011
6,500,8.955,8.951
9,500,9.454,9.449
10,200,1.039,1.035
10,200,0.133,0.129
12,500,9.722,9.717
12,500,0.007,0.004
12,200,1.035,1.031
13,200,0.13,0.126
16,500,9.103,9.099
16,500,0.006,0.004
16,200,1.013,1.008
17,200,0.13,0.126
17,200,1.043,1.04
17,200,0.13,0.128
17,200,0.132,0.13
17,200,0.122,0.12
17,200,0.122,0.12
19,500,9.445,9.44
21,500,9.659,9.654
22,200,1.024,1.019
22,200,0.145,0.142
22,200,0.13,0.128
22,200,0.124,0.121
24,500,9.045,9.041
25,200,1.007,1.003
25,200,0.131,0.126
25,200,0.128,0.124
26,200,0.121,0.116
26,200,0.121,0.117
27,200,0.121,0.117
31,500,8.884,8.879
31,500,0.006,0.004
31,200,1.016,1.014
31,200,0.129,0.127
33,500,9.02,9.015
33,500,0.022,0.019
33,500,0.006,0.004
33,200,1.037,1.035
33,200,0.129,0.126
33,200,0.128,0.125
35,500,9.314,9.31
37,500,9.553,9.549
38,200,1.025,1.02
41,500,9.03,9.025
43,500,9.255,9.251
43,200,1.183,1.177
44,200,0.131,0.127
44,200,1.043,1.039
44,200,0.13,0.126
45,200,0.13,0.126
46,500,8.568,8.563
46,200,1.652,1.648
47,200,0.127,0.123
50,500,9.162,9.157
51,200,1.02,1.016
53,500,9.406,9.401
56,500,9.804,9.797
56,200,1.008,1.004
57,200,0.129,0.125
57,200,1.032,1.027
57,200,0.127,0.123
62,500,9.707,9.702
64,500,8.798,8.793
64,500,0.006,0.004
64,200,1.019,1.015
65,200,0.13,0.126
66,200,31.552,31.547
67,200,0.13,0.125
67,200,0.131,0.127
68,200,1.032,1.028
68,200,0.295,0.291
69,200,0.128,0.124
70,200,31.141,31.136
70,500,15.016,15.011
70,502,0.013,0.009
70,200,0.165,0.163
71,200,0.128,0.125
72,200,33.9,33.894
73,200,0.133,0.128
73,200,0.132,0.128
74,200,0.123,0.117
75,500,30.019,30.015
76,200,1.046,1.042
76,200,0.128,0.124
77,200,1.043,1.039
78,200,0.13,0.126
79,200,33.802,33.797
79,200,1.799,1.794
88,500,9.813,9.809
90,500,9.025,9.02
91,200,1.031,1.027
91,200,0.13,0.127
91,200,0.136,0.134
91,200,0.118,0.116
92,200,0.135,0.133
92,200,0.121,0.117
92,200,0.127,0.123
96,500,9.678,9.674
97,200,1.027,1.022
98,200,0.142,0.138
99,200,31.03,31.025
100,200,0.129,0.125
101,200,34.547,34.543
104,500,9.7,9.696
104,500,0.006,0.004
104,500,0.006,0.004
104,200,1.013,1.01
104,200,0.126,0.124
106,500,18.017,18.013
108,500,9.578,9.573
108,200,1.011,1.007
109,200,0.129,0.125
109,200,0.13,0.124
110,200,0.123,0.118
110,200,0.119,0.115
113,500,10.037,10.033
114,200,1.016,1.012
115,200,1.035,1.029
115,200,0.131,0.127
115,200,0.128,0.124
116,200,0.122,0.119
117,200,31.029,31.025
118,200,0.128,0.124
119,502,30.02,30.016
119,500,10.013,10.008
119,200,1.048,1.046
122,500,9.795,9.79
122,500,0.007,0.004
122,200,1.017,1.013
123,200,0.127,0.123
129,500,9.6,9.596
129,500,0.006,0.004
129,200,1.033,1.029
137,500,9.488,9.484
137,500,0.006,0.004
137,200,1.009,1.007
137,200,0.126,0.124
142,500,8.825,8.821
142,200,1.02,1.016
143,200,0.129,0.125
143,200,0.128,0.124
143,200,0.121,0.117
145,500,10.003,9.999
149,500,9.801,9.797
149,500,0.006,0.004
149,200,1.015,1.011
152,500,10.103,10.099
156,500,9.601,9.597
156,200,1.02,1.016
160,500,8.917,8.913
160,500,0.006,0.004
160,500,0.006,0.004
160,200,1.016,1.014
160,200,0.126,0.124
160,200,0.125,0.123
161,200,0.118,0.115
162,500,30.03,30.026
162,502,0.016,0.013
164,500,9.485,9.481
168,500,8.914,8.91
169,200,1.037,1.033
171,500,9.385,9.381
171,500,0.006,0.004
171,200,1.015,1.013
171,200,0.129,0.127
173,500,16.015,16.011
174,200,1.057,1.053
175,200,0.13,0.126
175,200,0.127,0.124
175,200,0.12,0.117
176,200,0.12,0.117
181,500,9.6,9.596
182,200,1.016,1.012
183,200,1.037,1.033
184,200,0.127,0.123
186,500,9.015,9.011
187,200,1.027,1.023
189,500,9.51,9.506
189,500,0.006,0.004
189,200,1.017,1.013
190,200,0.128,0.124
191,200,31.194,31.19
191,200,3.34,3.336
192,200,0.127,0.124
194,500,8.918,8.914
195,200,1.018,1.014
195,200,0.129,0.125
195,200,0.129,0.125
196,200,0.123,0.119
196,200,1.05,1.046
197,200,0.126,0.122
200,500,9.707,9.703
200,200,1.014,1.011
208,500,9.625,9.621
210,500,9.035,9.031
213,500,9.013,9.009
217,500,9.714,9.71
217,500,0.006,0.004
217,200,1.025,1.021
221,500,8.913,8.909
222,200,1.026,1.022
224,500,9.428,9.423
226,500,9.692,9.688
226,500,0.006,0.004
226,200,1.008,1.006
226,200,0.127,0.125
227,200,0.126,0.124
227,200,0.12,0.117
229,500,8.902,8.898
231,500,9.302,9.298
231,500,0.006,0.004
231,200,1.014,1.01
232,200,0.127,0.124
232,200,0.128,0.125
232,200,0.12,0.116
233,200,0.121,0.116
233,200,0.121,0.117
233,200,0.12,0.116
235,500,9.977,9.973
235,200,1.001,0.997
236,200,0.126,0.123
236,200,0.126,0.122
238,500,8.991,8.987
239,200,1.026,1.023
239,200,0.13,0.126
240,200,0.131,0.127
243,500,9.634,9.63
243,500,0.006,0.004
243,200,1.028,1.024
244,200,0.129,0.126
244,200,0.129,0.126
245,200,0.127,0.123
246,200,33.737,33.733
247,200,0.128,0.124
247,200,0.125,0.123
247,200,0.118,0.116
247,200,0.117,0.115
247,200,0.117,0.115
249,500,18.007,18.003
252,500,9.755,9.751
252,500,0.006,0.004
252,200,1.016,1.012
254,500,12.033,12.029
256,500,9.075,9.071
259,500,9.563,9.559
261,500,9.795,9.791
265,500,9.294,9.289
268,500,9.63,9.626
270,500,9.895,9.89
270,500,0.006,0.004
270,200,1.012,1.009
270,200,0.135,0.132
272,500,16.015,16.011
272,200,1.084,1.082
273,200,0.129,0.125
273,200,0.127,0.125
273,200,0.117,0.115
273,200,0.117,0.114
274,200,0.117,0.115
274,200,0.121,0.117
275,200,0.119,0.115
277,500,9.704,9.7
279,500,8.731,8.727
279,200,1.016,1.013
281,500,8.962,8.958
282,200,1.016,1.012
284,500,9.523,9.519
284,500,0.006,0.004
284,200,1.017,1.013
288,500,10.004,10.0
290,500,9.243,9.239
291,200,1.019,1.015
291,200,0.131,0.127
292,200,0.129,0.126
294,500,9.647,9.643
297,500,8.993,8.989
298,200,1.023,1.019
304,500,9.789,9.785
307,500,8.985,8.981
312,500,9.617,9.613
315,500,8.801,8.797
315,200,1.019,1.015
320,500,9.572,9.567
321,200,1.02,1.016
321,200,0.129,0.126
322,200,0.129,0.126
322,200,0.122,0.119
322,200,0.12,0.116
324,500,9.904,9.9
332,500,9.793,9.789
334,500,10.098,10.094
341,500,9.785,9.781
342,200,1.028,1.024
344,500,8.994,8.99
349,500,9.68,9.676
349,500,0.006,0.004
349,200,1.024,1.02
354,500,9.195,9.191
369,500,9.698,9.694
376,500,9.406,9.402
381,500,8.888,8.883
388,500,9.735,9.731
393,500,9.189,9.185
398,500,9.703,9.699
400,500,9.895,9.891
