HashOwner,Total Invocation,15min_Alls_g,Ratio
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,288,73,0.2534722222222222
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,2,1.0
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,288,72,0.25
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,6,6,1.0
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,2,1.0
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,1,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,6,4,0.6666666666666666
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,1,1,1.0
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,1,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,8,4,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,4,2,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,226,87,0.38495575221238937
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,1,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,57,24,0.42105263157894735
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,1,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,14,9,0.6428571428571429
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,12,4,0.3333333333333333
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,10,5,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,13,5,0.38461538461538464
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,4,3,0.75
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,17,9,0.5294117647058824
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,288,72,0.25
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,64,26,0.40625
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,12,6,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,1,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,12,4,0.3333333333333333
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,1,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,1,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,288,75,0.2604166666666667
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,14,5,0.35714285714285715
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,2,1,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,33,11,0.3333333333333333
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,3,1,0.3333333333333333
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,8,4,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,8,4,0.5
71ca12c7af70d021e285b51b245942f8432df6463ff9f2c009b06b3f661f871f,6,3,0.5
3bc09e5bba34209e93e552d6fb5e09606d140d7dbae837b2e7af010f627f3334,96,48,0.5
b5036a0603cd93ceea8b60fb890f9f0d17874c9bceaa7cd61604f2c805243aca,9,9,1.0
b5036a0603cd93ceea8b60fb890f9f0d17874c9bceaa7cd61604f2c805243aca,2,2,1.0
b5036a0603cd93ceea8b60fb890f9f0d17874c9bceaa7cd61604f2c805243aca,15,15,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,24,24,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,24,24,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,96,51,0.53125
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,24,24,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,883,321,0.3635334088335221
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,464085,84288,0.1816219011603478
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,464089,80809,0.17412392881537808
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,96,48,0.5
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1440,90,0.0625
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,24,24,1.0
