Timestamp,StatusCode,E2ELatency,InternalLatency
2,500,12.616,12.61
2,502,0.616,0.612
2,500,0.006,0.004
2,200,24.798,24.795
2,200,24.154,24.15
3,200,0.915,0.911
3,200,0.126,0.124
3,200,0.128,0.124
4,200,0.129,0.125
4,200,0.126,0.124
4,200,0.121,0.119
4,200,0.127,0.125
5,200,0.125,0.123
13,500,11.811,11.807
13,200,25.926,25.922
14,200,0.115,0.113
16,500,12.201,12.197
16,200,33.66,33.655
17,200,6.521,6.517
17,200,0.127,0.125
17,200,0.127,0.125
17,200,0.119,0.117
17,200,0.118,0.115
19,500,12.623,12.619
19,500,0.006,0.004
19,200,23.268,23.264
20,200,0.973,0.969
22,500,12.897,12.892
22,200,34.101,34.097
26,500,12.367,12.362
27,200,0.98,0.976
31,500,11.967,11.962
31,200,29.654,29.649
32,200,0.115,0.113
32,200,0.129,0.125
32,200,0.131,0.127
33,200,0.122,0.118
33,200,0.12,0.118
33,200,0.121,0.119
33,200,0.118,0.116
34,200,0.118,0.115
34,200,0.125,0.121
34,200,0.12,0.116
35,200,0.12,0.116
44,500,12.166,12.161
46,500,12.417,12.413
46,500,0.006,0.004
46,200,19.727,19.723
47,200,0.114,0.112
47,200,1.626,1.622
48,200,0.129,0.125
49,200,0.127,0.123
51,500,12.97,12.966
52,200,1.749,1.744
53,200,0.978,0.974
53,200,0.129,0.125
55,500,12.317,12.313
59,500,12.816,12.811
60,200,4.643,4.638
61,200,0.131,0.127
61,200,0.128,0.124
62,200,0.122,0.118
62,200,0.119,0.115
62,200,0.121,0.117
64,500,12.353,12.349
64,500,0.006,0.004
64,200,29.354,29.35
65,200,0.974,0.97
65,200,0.127,0.124
65,200,0.456,0.453
65,200,0.119,0.117
69,500,12.972,12.967
71,500,12.216,12.212
73,500,12.524,12.52
73,500,0.006,0.004
73,200,32.862,32.859
73,200,23.02,23.016
74,500,0.603,0.599
74,200,0.126,0.124
74,200,0.129,0.125
75,200,0.128,0.124
76,200,0.128,0.124
76,200,0.12,0.116
76,200,0.121,0.117
77,200,0.12,0.116
78,200,0.119,0.115
79,200,0.119,0.115
79,200,0.12,0.116
81,500,12.267,12.262
82,200,7.053,7.049
85,500,12.766,12.762
85,500,0.008,0.004
86,200,6.363,6.355
86,200,0.127,0.125
86,200,0.127,0.124
86,200,0.117,0.115
87,200,0.117,0.115
88,200,0.118,0.115
89,200,0.117,0.114
91,500,12.368,12.363
91,200,36.73,36.726
93,200,0.975,0.971
93,200,0.127,0.123
93,200,0.127,0.124
94,200,0.119,0.115
104,500,12.766,12.762
105,200,0.994,0.989
105,200,1.057,1.053
109,500,12.233,12.228
109,200,26.855,26.851
110,200,0.119,0.117
111,200,0.129,0.124
111,200,0.127,0.122
111,200,0.12,0.116
115,500,12.904,12.899
115,500,0.008,0.004
117,500,13.081,13.076
121,500,12.566,12.562
121,500,0.006,0.004
121,500,0.006,0.004
121,200,23.66,23.658
122,200,0.991,0.987
122,200,0.125,0.123
122,200,0.126,0.123
122,200,0.117,0.115
123,200,0.117,0.115
123,200,0.117,0.115
123,200,0.117,0.114
123,200,0.116,0.114
123,200,0.118,0.115
124,200,0.116,0.114
124,200,0.117,0.115
124,200,0.116,0.114
124,200,0.118,0.116
124,200,0.116,0.114
125,200,0.115,0.113
125,200,0.116,0.114
125,200,0.116,0.114
125,200,0.116,0.114
133,500,12.769,12.765
133,502,2.767,2.763
133,500,0.006,0.004
133,200,32.321,32.318
133,200,26.256,26.251
133,500,6.878,6.874
134,500,0.007,0.004
134,200,0.132,0.13
134,200,0.127,0.125
134,200,0.121,0.119
134,200,0.12,0.117
134,200,0.121,0.119
134,200,0.121,0.119
135,200,0.119,0.117
135,200,0.118,0.116
135,200,0.118,0.116
135,200,0.123,0.121
135,200,0.118,0.116
136,200,0.119,0.117
136,200,0.118,0.116
136,200,0.373,0.371
136,200,0.118,0.116
137,200,0.118,0.115
137,200,0.122,0.118
137,200,0.12,0.115
140,500,12.518,12.513
140,500,0.006,0.004
140,200,9.909,9.904
142,500,12.771,12.762
143,200,0.958,0.954
