Timestamp,StatusCode,E2ELatency,InternalLatency
2,200,0.126,0.123
2,200,0.118,0.115
2,200,0.209,0.206
2,200,0.12,0.118
2,200,0.219,0.217
2,200,0.116,0.114
2,200,0.118,0.116
2,200,0.237,0.235
2,200,0.125,0.123
2,200,0.125,0.123
2,200,0.124,0.121
2,200,0.127,0.125
2,200,0.212,0.209
2,200,0.116,0.114
2,200,0.12,0.118
2,200,0.119,0.117
2,200,0.119,0.117
2,200,0.207,0.205
2,200,0.118,0.117
2,200,0.176,0.174
2,200,0.19,0.188
2,200,0.124,0.121
2,200,0.114,0.112
2,200,0.122,0.12
2,200,0.118,0.116
2,200,0.126,0.124
2,200,0.119,0.116
2,200,0.114,0.113
2,200,0.332,0.329
2,200,0.118,0.116
2,200,0.203,0.201
2,200,0.12,0.118
2,200,0.118,0.116
2,200,0.115,0.113
2,200,0.191,0.189
2,200,0.127,0.122
2,200,0.12,0.118
2,200,0.119,0.117
2,200,0.206,0.204
2,200,0.124,0.122
2,200,0.158,0.156
2,200,0.119,0.117
2,200,0.176,0.174
2,200,0.114,0.112
2,200,0.256,0.254
2,200,0.118,0.116
2,200,0.115,0.113
2,200,0.155,0.152
2,200,0.116,0.114
2,200,0.126,0.122
2,200,0.117,0.115
2,200,0.12,0.118
2,200,0.116,0.114
2,200,0.126,0.124
2,200,0.118,0.116
2,200,0.12,0.118
2,200,0.116,0.114
2,200,0.116,0.114
2,200,0.118,0.116
2,200,0.115,0.113
2,200,0.189,0.187
2,200,0.121,0.12
2,200,0.134,0.132
2,200,0.148,0.146
2,200,0.12,0.118
2,200,0.118,0.116
2,200,0.118,0.116
2,200,0.118,0.115
2,200,0.118,0.115
2,200,0.119,0.117
2,200,0.117,0.115
2,200,0.122,0.12
2,200,0.123,0.121
2,200,0.122,0.119
2,200,0.116,0.114
2,200,0.118,0.116
2,200,0.116,0.114
2,200,0.12,0.116
2,200,0.116,0.114
2,200,0.115,0.113
2,200,0.117,0.115
2,200,0.228,0.225
2,200,0.116,0.114
2,200,0.118,0.116
2,200,0.115,0.114
2,200,0.117,0.115
2,200,0.128,0.122
2,200,0.119,0.117
2,200,0.114,0.112
2,200,0.12,0.118
2,200,0.115,0.114
2,200,0.123,0.12
2,200,0.119,0.117
2,200,0.117,0.115
2,200,0.115,0.113
2,200,0.126,0.124
2,200,0.119,0.117
2,200,0.117,0.115
2,200,0.119,0.117
2,200,0.116,0.114
2,200,0.123,0.114
2,200,0.12,0.118
2,200,0.118,0.116
2,200,0.114,0.112
2,200,0.124,0.122
2,200,0.12,0.115
2,200,0.118,0.115
2,200,0.118,0.116
2,200,0.115,0.112
2,200,0.125,0.123
2,200,0.119,0.117
2,200,0.119,0.117
2,200,0.118,0.116
2,200,0.119,0.116
2,200,0.122,0.118
1,500,0.035,0.026
1,500,0.007,0.005
1,500,0.007,0.005
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.004,0.003
1,500,0.004,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.005,0.003
1,500,0.006,0.005
1,500,0.005,0.003
1,500,0.004,0.003
