Timestamp,StatusCode,E2ELatency,InternalLatency
2,200,8.713,8.709
2,200,0.313,0.311
2,200,0.314,0.311
2,200,0.314,0.312
2,200,0.31,0.308
3,200,0.307,0.305
3,200,0.306,0.302
3,200,0.309,0.305
4,200,0.307,0.303
4,200,0.304,0.302
4,200,0.302,0.3
4,200,0.312,0.31
5,200,0.305,0.303
13,200,9.178,9.174
13,200,1.607,1.603
14,200,0.313,0.309
16,200,8.529,8.525
16,200,0.315,0.312
17,200,0.316,0.312
17,200,0.306,0.304
17,200,0.306,0.304
17,200,0.306,0.304
17,200,0.305,0.303
19,200,8.517,8.513
19,200,0.321,0.319
19,200,0.316,0.312
20,200,0.308,0.304
22,200,8.393,8.389
22,200,0.314,0.311
26,200,8.52,8.516
27,200,0.322,0.317
31,200,8.671,8.667
31,200,0.316,0.312
32,200,0.32,0.316
32,200,1.235,1.231
32,200,0.316,0.312
33,200,0.307,0.303
33,200,0.299,0.297
33,200,0.297,0.295
33,200,0.299,0.297
34,200,0.299,0.296
34,200,0.3,0.296
34,200,0.301,0.297
35,200,0.302,0.297
44,200,8.581,8.577
46,200,8.78,8.776
46,200,0.309,0.307
46,200,0.31,0.306
47,200,0.306,0.302
47,200,0.302,0.298
48,200,0.303,0.299
49,200,0.304,0.301
51,200,8.641,8.636
52,200,0.317,0.313
53,200,0.32,0.316
53,200,0.308,0.304
55,200,9.475,9.471
59,200,8.841,8.837
60,200,0.316,0.312
61,200,1.247,1.243
61,200,0.32,0.316
62,200,0.313,0.309
62,200,0.313,0.309
62,200,0.321,0.317
64,200,9.429,9.424
64,200,0.316,0.314
64,200,0.307,0.303
65,200,0.3,0.296
65,200,0.298,0.296
65,200,0.3,0.298
65,200,0.298,0.296
69,200,8.539,8.535
71,200,8.604,8.6
73,200,8.757,8.753
73,200,0.316,0.314
73,200,0.317,0.314
73,200,0.307,0.305
74,200,0.306,0.304
74,200,1.254,1.25
74,200,0.318,0.314
75,200,0.318,0.314
76,200,0.309,0.305
76,200,0.306,0.303
76,200,0.308,0.304
77,200,0.307,0.303
78,200,0.308,0.304
79,200,0.308,0.304
79,200,0.308,0.304
81,200,8.451,8.446
82,200,0.317,0.313
85,200,8.497,8.493
85,200,0.313,0.309
86,200,0.312,0.308
86,200,1.868,1.865
86,200,0.344,0.341
86,200,0.325,0.322
87,200,0.31,0.308
88,200,0.308,0.304
89,200,0.306,0.302
91,200,8.639,8.635
91,200,0.316,0.312
93,200,8.642,8.629
93,200,0.319,0.317
93,200,0.321,0.318
94,200,0.311,0.307
104,200,8.56,8.555
105,200,0.443,0.437
105,200,0.342,0.338
109,200,8.618,8.614
109,200,0.318,0.314
110,200,0.321,0.318
111,200,1.311,1.307
111,200,0.313,0.31
111,200,0.383,0.376
115,200,8.578,8.574
115,200,0.337,0.333
117,200,8.401,8.397
121,200,10.423,10.416
121,200,0.578,0.574
121,200,0.327,0.325
121,200,0.382,0.38
122,200,0.314,0.311
122,200,1.238,1.236
122,200,0.307,0.305
122,200,0.306,0.303
123,200,0.304,0.302
123,200,0.302,0.3
123,200,0.306,0.303
123,200,0.302,0.3
123,200,0.301,0.299
124,200,0.296,0.294
124,200,0.297,0.295
124,200,0.296,0.294
124,200,0.297,0.295
124,200,0.297,0.295
125,200,0.296,0.293
125,200,0.297,0.294
125,200,0.296,0.294
125,200,0.298,0.295
133,200,9.034,9.029
133,200,0.297,0.295
133,200,0.307,0.304
133,200,0.307,0.305
133,200,0.298,0.296
133,200,0.305,0.302
134,200,0.303,0.301
134,200,0.297,0.295
134,200,0.297,0.295
134,200,0.302,0.3
134,200,0.298,0.296
134,200,0.297,0.294
134,200,0.301,0.298
135,200,0.299,0.297
135,200,0.297,0.295
135,200,0.304,0.302
135,200,0.301,0.299
135,200,0.298,0.295
136,200,0.301,0.298
136,200,0.297,0.295
136,200,0.299,0.296
136,200,0.296,0.294
137,200,0.305,0.302
137,200,0.305,0.3
137,200,0.298,0.294
140,200,8.5,8.495
140,200,0.335,0.332
140,200,0.322,0.318
142,200,8.551,8.546
143,200,0.313,0.308
146,200,8.489,8.485
147,200,0.321,0.317
147,200,0.319,0.315
151,200,8.488,8.484
151,200,0.307,0.305
151,200,0.317,0.315
151,200,0.317,0.315
151,200,0.307,0.305
152,200,0.306,0.304
152,200,0.308,0.306
152,200,0.303,0.301
152,200,0.307,0.305
152,200,0.309,0.307
153,200,0.312,0.309
153,200,0.304,0.302
153,200,0.305,0.303
153,200,0.303,0.3
153,200,0.302,0.3
154,200,0.305,0.303
154,200,0.307,0.304
154,200,0.302,0.3
154,200,0.308,0.306
154,200,0.306,0.304
154,200,0.303,0.3
154,200,0.302,0.3
155,200,0.306,0.303
155,200,0.307,0.305
155,200,0.304,0.301
155,200,0.305,0.303
163,200,8.612,8.608
163,200,0.319,0.315
164,200,0.317,0.313
169,200,8.471,8.467
169,200,0.317,0.315
169,200,0.322,0.318
