Timestamp,StatusCode,E2ELatency,InternalLatency
1,200,1.304,1.298
3,200,9.243,9.239
3,200,0.352,0.348
6,200,8.455,8.451
9,200,8.713,8.708
10,200,0.354,0.35
10,200,1.331,1.326
12,200,9.036,9.032
12,200,0.345,0.343
12,200,0.348,0.343
13,200,0.342,0.338
16,200,8.829,8.825
16,200,0.341,0.339
16,200,0.346,0.342
17,200,0.337,0.333
17,200,0.338,0.336
17,200,1.315,1.312
17,200,0.348,0.345
17,200,0.347,0.345
17,200,0.342,0.339
19,200,9.469,9.465
21,200,8.976,8.971
22,200,0.346,0.342
22,200,0.346,0.343
22,200,0.336,0.334
22,200,0.333,0.33
24,200,9.447,9.443
25,200,0.323,0.319
25,200,0.321,0.317
25,200,0.311,0.306
26,200,0.331,0.327
26,200,0.336,0.332
27,200,0.31,0.305
31,200,9.345,9.341
31,200,0.345,0.343
31,200,0.354,0.351
31,200,0.346,0.344
33,200,10.766,10.761
33,200,2.005,1.999
33,200,0.362,0.36
33,200,0.356,0.354
33,200,0.348,0.346
33,200,0.345,0.343
35,500,4.489,4.484
37,200,10.987,10.982
38,200,0.36,0.356
41,200,10.464,10.46
43,200,8.915,8.911
43,200,0.317,0.313
44,200,0.312,0.308
44,200,0.311,0.307
44,200,0.304,0.3
45,200,0.304,0.3
46,200,0.307,0.302
46,200,0.306,0.301
47,200,0.305,0.301
50,200,8.994,8.989
51,200,0.315,0.311
53,200,8.6,8.596
56,200,8.568,8.563
56,200,0.322,0.317
57,200,0.316,0.312
57,200,1.231,1.227
57,200,0.314,0.31
62,200,8.494,8.489
64,200,8.71,8.705
64,200,0.317,0.315
64,200,0.319,0.315
65,200,0.31,0.305
66,200,1.245,1.241
67,200,0.322,0.318
67,200,0.321,0.316
68,200,0.31,0.305
68,200,0.309,0.305
69,200,0.307,0.303
70,200,0.309,0.305
70,200,0.306,0.304
70,200,0.308,0.305
70,200,0.306,0.303
71,200,0.304,0.302
72,200,0.308,0.304
73,200,0.306,0.303
73,200,0.306,0.302
74,200,0.307,0.304
75,200,0.309,0.305
76,200,0.305,0.301
76,200,0.305,0.301
77,200,0.307,0.303
78,200,0.306,0.302
79,200,0.304,0.3
79,200,0.305,0.301
88,200,8.344,8.34
90,200,8.414,8.409
91,200,0.313,0.309
91,200,1.224,1.221
91,200,0.311,0.308
91,200,0.307,0.304
92,200,0.305,0.302
92,200,0.301,0.297
92,200,0.302,0.298
96,200,8.598,8.594
97,200,0.321,0.317
98,200,1.239,1.235
99,200,0.313,0.309
