Timestamp,StatusCode,E2ELatency,InternalLatency
2,200,1.027,1.023
2,200,0.128,0.126
2,200,0.126,0.123
2,200,0.116,0.114
2,200,0.115,0.113
3,200,0.187,0.185
3,200,0.117,0.113
3,200,0.116,0.113
4,200,0.117,0.113
4,200,0.115,0.113
4,200,0.115,0.113
4,200,0.117,0.115
5,200,0.118,0.115
13,200,0.117,0.113
13,200,0.116,0.112
14,200,0.12,0.116
16,200,0.117,0.113
16,200,0.121,0.117
17,200,0.116,0.113
17,200,0.115,0.113
17,200,0.115,0.113
17,200,0.115,0.113
17,200,0.114,0.112
19,200,0.116,0.113
19,200,0.115,0.112
19,200,0.116,0.112
20,200,0.115,0.112
22,200,0.117,0.114
22,200,0.116,0.113
26,200,0.118,0.114
27,200,0.115,0.112
31,200,0.117,0.113
31,200,0.115,0.112
32,200,0.118,0.113
32,200,0.115,0.112
32,200,0.118,0.115
33,200,0.117,0.113
33,200,0.115,0.113
33,200,0.114,0.112
33,200,0.114,0.112
34,200,0.114,0.112
34,200,0.116,0.113
34,200,0.126,0.122
35,200,0.116,0.112
44,200,0.116,0.112
46,200,0.116,0.112
46,200,0.115,0.112
46,200,0.115,0.112
47,200,0.115,0.112
47,200,0.116,0.112
48,200,0.116,0.112
49,200,0.116,0.112
51,200,0.116,0.112
52,200,0.115,0.112
53,200,0.115,0.111
53,200,0.116,0.112
55,200,0.116,0.112
59,200,0.116,0.112
60,200,0.116,0.112
61,200,0.116,0.112
61,200,0.116,0.112
62,200,0.118,0.114
62,200,0.116,0.113
62,200,0.116,0.113
64,200,0.117,0.113
64,200,0.115,0.112
64,200,0.115,0.112
65,200,0.115,0.111
65,200,0.114,0.112
65,200,0.116,0.114
65,200,0.114,0.112
69,200,0.115,0.111
71,200,0.118,0.114
73,200,0.116,0.113
73,200,0.118,0.116
73,200,0.114,0.112
73,200,0.115,0.112
74,200,0.114,0.112
74,200,0.115,0.112
74,200,0.117,0.112
75,200,0.116,0.112
76,200,0.116,0.112
76,200,0.115,0.112
76,200,0.115,0.112
77,200,0.115,0.111
78,200,0.115,0.112
79,200,0.116,0.112
79,200,0.115,0.111
81,200,0.115,0.112
82,200,0.115,0.112
85,200,0.116,0.112
85,200,0.117,0.113
86,200,0.115,0.112
86,200,0.115,0.113
86,200,0.113,0.111
86,200,0.113,0.111
87,200,0.114,0.112
88,200,0.115,0.112
89,200,0.115,0.111
91,200,0.115,0.112
91,200,0.116,0.112
93,200,0.116,0.112
93,200,0.116,0.112
93,200,0.116,0.112
94,200,0.116,0.112
104,200,0.115,0.112
105,200,0.117,0.113
105,200,0.116,0.112
109,200,0.116,0.112
109,200,0.115,0.112
110,200,0.115,0.111
111,200,0.115,0.112
111,200,0.116,0.112
111,200,0.114,0.111
115,200,0.115,0.112
115,200,0.116,0.112
117,200,0.116,0.112
121,200,0.115,0.111
121,200,0.114,0.112
121,200,0.113,0.111
121,200,0.115,0.113
122,200,0.114,0.112
122,200,0.113,0.111
122,200,0.113,0.111
122,200,0.113,0.111
123,200,0.115,0.111
123,200,0.113,0.111
123,200,0.114,0.112
123,200,0.114,0.112
123,200,0.113,0.111
124,200,0.114,0.111
