Timestamp,StatusCode,E2ELatency,InternalLatency
2,200,1.174,1.167
2,200,0.126,0.124
2,200,0.124,0.122
2,200,0.118,0.116
2,200,0.115,0.113
3,200,0.185,0.183
3,200,0.116,0.113
3,200,0.119,0.115
4,200,0.117,0.114
4,200,0.115,0.113
4,200,0.114,0.113
4,200,0.115,0.112
5,200,0.115,0.113
13,200,0.117,0.114
13,200,0.117,0.112
14,200,0.119,0.114
16,200,0.116,0.113
16,200,0.116,0.113
17,200,0.116,0.113
17,200,0.115,0.113
17,200,0.114,0.112
17,200,0.114,0.112
17,200,0.114,0.113
19,200,0.116,0.113
19,200,0.116,0.112
19,200,0.116,0.112
20,200,0.116,0.112
22,200,0.118,0.114
22,200,0.117,0.113
26,200,0.116,0.112
27,200,0.117,0.114
31,200,0.116,0.113
31,200,0.115,0.111
32,200,0.117,0.113
32,200,0.116,0.113
32,200,0.118,0.115
33,200,0.116,0.112
33,200,0.114,0.112
33,200,0.113,0.111
33,200,0.114,0.112
34,200,0.113,0.111
34,200,0.116,0.112
34,200,0.115,0.112
35,200,0.116,0.113
44,200,0.116,0.112
46,200,0.116,0.112
46,200,0.118,0.113
46,200,0.115,0.112
47,200,0.116,0.112
47,200,0.116,0.112
48,200,0.115,0.112
49,200,0.116,0.113
51,200,0.116,0.112
52,200,0.115,0.111
53,200,0.115,0.111
53,200,0.115,0.112
55,200,0.116,0.112
59,200,0.116,0.112
60,200,0.115,0.111
61,200,0.117,0.113
61,200,0.115,0.111
62,200,0.116,0.112
62,200,0.118,0.113
62,200,0.115,0.112
64,200,0.115,0.111
64,200,0.115,0.112
64,200,0.115,0.111
65,200,0.116,0.112
65,200,0.114,0.112
65,200,0.113,0.111
65,200,0.113,0.111
69,200,0.115,0.111
71,200,0.117,0.114
73,200,0.116,0.112
73,200,0.114,0.112
73,200,0.113,0.111
73,200,0.113,0.111
74,200,0.113,0.111
74,200,0.116,0.113
74,200,0.115,0.112
75,200,0.116,0.112
76,200,0.117,0.113
76,200,0.116,0.112
76,200,0.117,0.113
77,200,0.115,0.112
78,200,0.115,0.112
79,200,0.116,0.112
79,200,0.115,0.111
81,200,0.115,0.111
82,200,0.115,0.111
85,200,0.115,0.111
85,200,0.115,0.112
86,200,0.115,0.111
86,200,0.114,0.112
86,200,0.113,0.111
86,200,0.113,0.11
87,200,0.114,0.112
88,200,0.115,0.111
89,200,0.115,0.111
91,200,0.115,0.111
91,200,0.114,0.111
93,200,0.116,0.112
93,200,0.114,0.111
93,200,0.114,0.111
94,200,0.115,0.111
104,200,0.115,0.112
105,200,0.116,0.111
105,200,0.116,0.113
109,200,0.115,0.112
109,200,0.115,0.111
110,200,0.115,0.112
111,200,0.115,0.112
111,200,0.115,0.111
111,200,0.115,0.111
115,200,0.117,0.113
115,200,0.115,0.111
117,200,0.116,0.112
121,200,0.115,0.112
121,200,0.113,0.111
121,200,0.113,0.111
121,200,0.115,0.113
122,200,0.115,0.113
122,200,0.113,0.111
122,200,0.114,0.111
122,200,0.114,0.111
123,200,0.114,0.111
123,200,0.114,0.112
123,200,0.114,0.112
123,200,0.114,0.112
123,200,0.113,0.111
124,200,0.113,0.111
124,200,0.114,0.112
124,200,0.113,0.111
124,200,0.113,0.111
124,200,0.113,0.111
125,200,0.113,0.111
125,200,0.114,0.112
125,200,0.113,0.111
125,200,0.113,0.111
133,200,0.116,0.112
133,200,0.113,0.111
133,200,0.113,0.111
133,200,0.113,0.11
133,200,0.113,0.111
133,200,0.112,0.11
134,200,0.112,0.11
134,200,0.113,0.111
134,200,0.113,0.111
134,200,0.113,0.111
134,200,0.112,0.11
134,200,0.114,0.111
134,200,0.113,0.111
135,200,0.112,0.11
135,200,0.114,0.111
135,200,0.113,0.111
135,200,0.113,0.111
135,200,0.114,0.112
136,200,0.113,0.111
136,200,0.114,0.112
136,200,0.113,0.111
136,200,0.113,0.111
137,200,0.113,0.111
137,200,0.115,0.112
137,200,0.114,0.111
140,200,0.115,0.111
140,200,0.116,0.112
140,200,0.115,0.112
142,200,0.116,0.112
143,200,0.116,0.112
146,200,0.115,0.111
147,200,0.115,0.111
147,200,0.114,0.111
151,200,0.115,0.111
151,200,0.113,0.111
151,200,0.113,0.111
151,200,0.113,0.111
151,200,0.113,0.111
152,200,0.113,0.111
152,200,0.114,0.111
152,200,0.114,0.112
152,200,0.113,0.111
152,200,0.113,0.111
153,200,0.113,0.111
153,200,0.115,0.113
153,200,0.114,0.112
153,200,0.113,0.111
153,200,0.113,0.111
154,200,0.115,0.113
154,200,0.114,0.112
154,200,0.113,0.111
154,200,0.113,0.111
154,200,0.113,0.111
154,200,0.113,0.111
154,200,0.112,0.111
155,200,0.113,0.111
155,200,0.113,0.111
155,200,0.113,0.111
155,200,0.114,0.111
163,200,0.116,0.112
163,200,0.115,0.111
164,200,0.117,0.112
169,200,0.115,0.111
169,200,0.116,0.112
169,200,0.114,0.111
170,200,0.114,0.111
170,200,0.114,0.112
170,200,0.113,0.111
170,200,0.113,0.111
170,200,0.112,0.11
170,200,0.113,0.111
171,200,0.113,0.111
171,200,0.112,0.111
171,200,0.113,0.111
171,200,0.114,0.112
171,200,0.113,0.111
172,200,0.113,0.111
172,200,0.113,0.111
172,200,0.111,0.109
172,200,0.113,0.111
172,200,0.113,0.111
172,200,0.112,0.11
173,200,0.113,0.111
173,200,0.117,0.113
173,200,0.115,0.111
175,200,0.115,0.111
176,200,0.115,0.111
178,200,0.119,0.115
178,200,0.115,0.111
180,200,0.116,0.112
181,200,0.115,0.111
181,200,0.11,0.108
181,200,0.111,0.109
181,200,0.11,0.108
181,200,0.11,0.108
181,200,0.11,0.109
181,200,0.11,0.108
181,200,0.109,0.108
181,200,0.111,0.109
181,200,0.109,0.107
181,200,0.11,0.108
