Timestamp,StatusCode,E2ELatency
2,200,2.996
2,200,1.499
2,200,1.561
2,200,1.565
2,200,1.533
3,200,1.531
3,200,1.53
3,200,1.609
4,200,1.511
4,200,1.466
4,200,1.599
4,200,1.488
5,200,1.539
13,200,37.177
13,200,35.851
14,200,1.542
16,200,2.702
16,200,1.521
17,200,1.563
17,200,1.532
17,200,1.513
17,200,1.445
17,200,1.46
19,200,2.527
19,200,1.991
19,200,1.499
20,200,1.635
22,200,2.568
22,200,1.465
26,200,2.88
27,200,1.572
31,200,2.793
31,200,1.479
32,200,1.562
32,200,1.541
32,200,1.487
33,200,1.559
33,200,1.441
33,200,1.638
33,200,1.54
34,200,1.619
34,200,1.629
34,200,1.528
35,200,1.688
44,200,36.882
46,200,2.437
46,200,1.563
46,200,1.636
47,200,1.521
47,200,1.639
48,200,1.456
49,200,1.51
51,200,2.566
52,200,1.514
53,200,1.925
53,200,1.652
55,200,3.481
59,200,2.932
60,200,1.613
61,200,1.543
61,200,1.589
62,200,1.45
62,200,2.09
62,200,1.587
64,200,2.585
64,200,1.506
64,200,1.539
65,200,1.461
65,200,1.552
65,200,1.54
65,200,1.446
69,200,3.142
71,200,2.431
73,200,2.558
73,200,1.439
73,200,1.613
73,200,1.422
74,200,1.482
74,200,1.463
74,200,1.521
75,200,1.501
76,200,1.559
76,200,1.49
76,200,1.482
77,200,1.467
78,200,2.596
79,200,1.475
79,200,1.562
81,200,2.562
82,200,1.539
85,200,2.656
85,200,2.173
86,200,1.621
86,200,2.087
86,200,1.533
86,200,1.466
87,200,1.577
88,200,1.6
89,200,1.535
91,200,2.577
91,200,1.57
93,200,2.718
93,200,1.558
93,200,1.591
94,200,1.479
104,200,37.173
105,200,1.525
105,200,1.547
109,200,2.6
109,200,1.515
110,200,1.475
111,200,1.525
111,200,1.552
111,200,1.515
115,200,2.838
115,200,1.557
117,200,2.485
121,200,2.884
121,200,1.466
121,200,1.569
121,200,1.449
122,200,1.45
122,200,1.452
122,200,1.584
122,200,1.469
123,200,1.455
123,200,1.455
123,200,1.498
123,200,1.568
123,200,1.468
124,200,1.428
124,200,1.469
124,200,1.539
124,200,1.596
124,200,1.458
125,200,1.481
125,200,2.641
125,200,1.573
125,200,1.51
133,200,36.175
133,200,37.308
133,200,35.697
133,200,36.186
133,200,1.405
133,200,1.605
134,200,1.521
134,200,1.538
134,200,1.626
134,200,1.61
134,200,1.535
134,200,1.519
134,200,1.599
135,200,1.648
135,200,1.516
135,200,1.595
135,200,1.49
135,200,1.59
136,200,1.59
136,200,1.55
136,200,1.608
136,200,1.71
137,200,1.666
137,200,1.629
137,200,2.727
140,200,3.285
140,200,1.574
140,200,1.682
142,200,2.451
143,200,1.642
146,200,2.907
147,200,1.734
147,200,1.956
151,200,3.002
151,200,1.619
151,200,1.65
151,200,1.689
151,200,1.668
152,200,1.54
152,200,1.657
152,200,1.556
152,200,1.532
152,200,1.718
153,200,1.544
153,200,1.747
153,200,1.565
153,200,1.672
153,200,1.726
154,200,1.552
154,200,1.504
154,200,2.226
154,200,1.66
154,200,1.721
154,200,1.716
154,200,1.585
155,200,2.536
155,200,1.583
155,200,1.79
155,200,1.68
163,200,39.686
163,200,36.151
164,200,2.107
169,200,2.84
169,200,1.481
169,200,1.536
170,200,1.479
170,200,1.4
170,200,1.754
170,200,1.925
170,200,1.813
170,200,2.503
171,200,2.168
171,200,1.999
171,200,2.198
171,200,1.526
171,200,1.578
172,200,1.626
172,200,1.766
172,200,1.479
172,200,1.66
172,200,1.75
172,200,1.446
173,200,2.329
173,200,1.771
173,200,1.457
175,200,2.724
176,200,1.544
178,200,2.577
178,200,1.576
180,200,2.538
181,200,1.645
181,200,1.412
181,200,1.5
181,200,1.466
181,200,1.495
181,200,1.517
181,200,1.454
181,200,2.469
181,200,1.841
181,200,1.649
181,200,1.513
181,200,1.409
181,200,1.468
181,200,1.421
181,200,1.454
181,200,1.501
181,200,1.451
181,200,1.437
182,200,1.506
182,200,1.433
182,200,1.502
182,200,1.475
182,200,1.793
182,200,1.745
182,200,2.684
182,200,1.932
182,200,1.753
182,200,1.446
182,200,1.622
182,200,1.494
182,200,1.573
182,200,1.512
182,200,1.498
182,200,1.501
183,200,1.541
183,200,1.474
183,200,1.467
183,200,1.433
183,200,1.516
183,200,2.424
183,200,1.545
183,200,2.239
183,200,1.464
183,200,1.428
183,200,1.502
183,200,1.454
183,200,1.424
183,200,2.225
184,200,1.518
184,200,1.429
184,200,1.471
184,200,1.478
184,200,1.497
184,200,1.5
184,200,1.633
184,200,1.511
184,200,1.639
184,200,1.433
184,200,1.542
184,200,1.462
184,200,1.502
184,200,1.443
184,200,1.444
184,200,1.435
184,200,1.496
184,200,1.542
184,200,1.564
184,200,1.524
185,200,1.562
185,200,1.736
185,200,2.225
185,200,1.566
187,200,2.866
193,200,37.229
193,200,37.687
193,200,35.843
193,200,36.587
193,200,36.659
193,200,37.605
193,200,37.268
193,200,36.594
193,200,38.483
193,200,37.723
193,200,8.148
193,200,7.042
193,200,4.491
193,200,2.298
193,200,1.706
193,200,1.509
193,200,1.576
193,200,1.779
193,200,1.597
194,200,1.563
194,200,1.567
194,200,1.628
194,200,1.516
194,200,1.528
194,200,1.782
194,200,1.615
194,200,1.483
194,200,1.572
194,200,1.563
194,200,1.476
194,200,1.51
194,200,1.739
194,200,1.494
194,200,1.764
194,200,1.555
194,200,1.488
195,200,1.796
195,200,1.563
195,200,1.56
195,200,1.536
195,200,1.721
195,200,1.583
195,200,1.696
195,200,1.582
195,200,1.582
195,200,1.597
195,200,1.503
195,200,1.571
195,200,1.536
195,200,1.622
195,200,1.618
195,200,1.597
195,200,1.529
195,200,1.529
196,200,1.695
196,200,1.554
196,200,1.581
196,200,1.642
196,200,1.543
196,200,1.493
196,200,1.516
196,200,1.924
196,200,1.626
196,200,1.628
196,200,1.624
196,200,1.532
196,200,1.615
196,200,1.55
196,200,1.74
196,200,1.577
196,200,1.587
196,200,1.754
196,200,1.576
196,200,1.69
196,200,1.533
197,200,1.805
197,200,1.559
197,200,1.501
197,200,2.664
197,200,1.58
197,200,1.653
197,200,2.878
197,200,2.041
197,200,1.576
197,200,1.578
199,200,2.086
199,200,1.596
199,200,1.839
199,200,1.784
199,200,2.0
200,200,1.735
200,200,1.772
200,200,1.734
201,200,1.627
201,200,1.528
201,200,2.503
201,200,1.529
201,200,1.687
201,200,1.69
202,200,1.671
202,200,1.62
202,200,1.607
202,200,1.537
202,200,1.558
202,200,1.506
202,200,1.613
203,200,1.552
203,200,1.551
203,200,1.541
203,200,1.511
203,200,1.571
205,200,2.666
207,200,2.514
208,200,1.849
208,200,1.547
208,200,1.521
209,200,1.585
211,200,2.937
211,200,1.527
211,200,1.519
211,200,1.587
