Timestamp,StatusCode,E2ELatency,InternalLatency
2,200,7.93,7.922
2,200,0.124,0.122
2,200,0.128,0.126
2,200,0.129,0.127
2,200,0.127,0.125
3,200,0.197,0.195
3,200,0.121,0.116
3,200,0.121,0.117
4,200,0.12,0.116
4,200,0.118,0.115
4,200,0.124,0.122
4,200,0.118,0.115
5,200,0.12,0.117
13,200,7.51,7.506
13,200,0.128,0.124
14,200,0.136,0.132
16,200,7.594,7.589
16,200,0.129,0.125
17,200,0.126,0.122
17,200,1.047,1.045
17,200,0.128,0.126
17,200,0.129,0.127
17,200,0.124,0.122
19,200,7.903,7.899
19,200,0.126,0.124
19,200,0.126,0.121
20,200,0.123,0.119
22,200,7.505,7.501
22,200,0.128,0.124
26,200,7.509,7.505
27,200,0.127,0.123
31,200,7.522,7.518
31,200,0.131,0.127
32,200,0.126,0.123
32,200,0.12,0.117
32,200,0.122,0.118
33,200,0.196,0.192
33,200,0.116,0.114
33,200,0.117,0.115
33,200,0.123,0.12
34,200,0.117,0.115
34,200,0.121,0.117
34,200,0.118,0.114
35,200,0.119,0.115
44,200,7.548,7.544
46,200,7.6,7.596
46,200,0.125,0.122
46,200,0.125,0.121
47,200,0.122,0.118
47,200,1.031,1.027
48,200,0.129,0.125
49,200,7.131,7.126
51,200,7.809,7.804
52,200,0.129,0.125
53,200,7.165,7.161
53,200,0.136,0.131
55,200,7.79,7.785
59,200,7.582,7.578
60,200,0.126,0.122
61,200,7.378,7.373
61,200,0.132,0.127
62,200,0.126,0.122
62,200,0.126,0.122
62,200,0.119,0.115
64,200,7.708,7.704
64,200,0.127,0.125
64,200,0.127,0.123
65,200,0.12,0.116
65,200,0.117,0.115
65,200,0.185,0.183
65,200,0.121,0.118
69,200,7.453,7.449
71,200,7.526,7.522
73,200,7.595,7.591
73,200,0.137,0.135
73,200,0.131,0.129
73,200,0.117,0.115
74,200,0.123,0.12
74,200,0.201,0.196
74,200,0.123,0.119
75,200,0.123,0.119
76,200,7.196,7.19
76,200,0.129,0.127
76,200,0.132,0.128
77,200,0.12,0.116
78,200,7.067,7.062
79,200,0.132,0.128
79,200,0.127,0.123
81,200,7.675,7.671
82,200,0.132,0.128
85,200,7.672,7.668
85,200,0.132,0.128
86,200,0.127,0.123
86,200,1.054,1.051
86,200,0.127,0.125
86,200,0.134,0.132
87,200,0.118,0.116
88,200,7.392,7.388
89,200,0.128,0.124
91,200,7.605,7.601
91,200,0.137,0.134
93,200,7.761,7.756
93,200,0.131,0.128
93,200,0.131,0.127
94,200,0.129,0.125
104,200,7.624,7.62
105,200,0.13,0.126
105,200,1.052,1.047
109,200,7.425,7.421
109,200,0.128,0.124
110,200,0.126,0.122
111,200,7.164,7.159
111,200,0.126,0.124
111,200,0.125,0.121
115,200,7.601,7.597
115,200,0.131,0.127
117,200,7.766,7.761
121,200,7.459,7.455
121,200,0.132,0.13
121,200,0.129,0.127
121,200,0.127,0.125
122,200,0.126,0.124
122,200,1.051,1.049
122,200,0.13,0.128
122,200,0.127,0.124
123,200,0.128,0.126
123,200,0.117,0.115
123,200,0.202,0.2
123,200,0.117,0.115
123,200,0.119,0.117
124,200,0.122,0.12
124,200,0.121,0.119
124,200,0.118,0.115
124,200,0.118,0.115
124,200,0.124,0.122
125,200,0.117,0.115
125,200,0.123,0.121
125,200,0.117,0.115
125,200,0.119,0.116
133,200,7.605,7.6
133,200,0.115,0.113
133,200,0.127,0.125
133,200,0.124,0.122
133,200,0.116,0.114
133,200,0.189,0.186
134,200,0.115,0.113
134,200,0.116,0.114
134,200,0.115,0.113
134,200,0.116,0.114
134,200,0.116,0.113
134,200,0.117,0.114
134,200,0.114,0.112
135,200,0.116,0.114
135,200,0.115,0.113
135,200,0.115,0.113
135,200,0.115,0.113
135,200,0.115,0.113
136,200,0.115,0.113
136,200,0.115,0.113
136,200,0.115,0.112
136,200,0.117,0.114
137,200,0.115,0.113
137,200,0.117,0.112
137,200,0.119,0.115
140,200,7.492,7.487
140,200,0.127,0.124
140,200,0.131,0.127
142,200,7.545,7.541
143,200,0.128,0.124
146,200,7.699,7.695
147,200,0.128,0.123
147,200,0.137,0.133
151,200,7.614,7.61
151,200,0.119,0.116
151,200,0.133,0.131
151,200,0.126,0.124
151,200,0.124,0.122
152,200,0.192,0.189
152,200,0.121,0.119
152,200,0.116,0.114
152,200,0.119,0.117
152,200,0.117,0.115
153,200,0.125,0.123
153,200,0.118,0.115
153,200,0.12,0.118
153,200,0.117,0.115
153,200,0.116,0.113
154,200,0.119,0.117
154,200,0.117,0.115
154,200,0.116,0.114
154,200,0.117,0.115
154,200,0.117,0.114
154,200,0.124,0.121
154,200,0.117,0.115
155,200,0.122,0.12
155,200,0.116,0.114
155,200,0.123,0.12
155,200,0.118,0.115
163,200,8.039,8.034
163,200,0.13,0.125
164,200,0.128,0.123
169,200,7.575,7.57
169,200,0.13,0.127
169,200,0.129,0.123
170,200,0.124,0.12
170,200,1.045,1.042
170,200,0.134,0.132
170,200,0.126,0.124
170,200,0.119,0.116
170,200,0.124,0.121
171,200,0.196,0.194
171,200,0.123,0.121
171,200,0.118,0.116
171,200,0.125,0.123
171,200,0.123,0.121
172,200,0.119,0.117
172,200,0.118,0.115
172,200,0.121,0.119
172,200,0.121,0.119
172,200,0.119,0.116
