Timestamp,StatusCode,E2ELatency,InternalLatency
1,200,0.134,0.13
1,200,0.113,0.111
1,200,0.112,0.11
1,200,0.118,0.116
1,200,0.187,0.185
1,200,0.118,0.116
1,200,0.111,0.11
1,200,0.114,0.113
1,200,0.113,0.111
1,200,0.115,0.113
1,200,0.114,0.112
1,200,0.113,0.112
1,200,0.117,0.115
1,200,0.111,0.109
1,200,0.114,0.112
1,200,0.11,0.108
1,200,0.111,0.11
1,200,0.113,0.112
1,200,1.399,1.396
1,200,0.967,0.963
1,200,0.536,0.533
1,200,0.114,0.112
1,200,0.114,0.112
1,200,0.187,0.185
1,200,0.115,0.114
1,200,0.116,0.114
1,200,0.128,0.125
1,200,0.117,0.115
1,200,0.12,0.118
1,200,0.116,0.114
1,200,0.12,0.118
1,200,0.117,0.115
1,200,0.127,0.125
1,200,0.118,0.116
1,200,0.114,0.112
1,200,0.117,0.115
1,200,0.111,0.11
1,200,0.118,0.116
1,200,0.111,0.109
1,200,0.116,0.115
1,200,0.113,0.111
1,200,0.112,0.11
1,200,0.114,0.113
1,200,0.11,0.109
1,200,0.114,0.112
1,200,0.112,0.111
1,200,0.114,0.113
1,200,0.112,0.111
1,200,0.11,0.109
1,200,0.116,0.115
1,200,0.111,0.109
1,200,0.112,0.11
1,200,0.113,0.112
1,200,0.11,0.109
1,200,0.121,0.12
1,200,0.111,0.109
1,200,0.118,0.116
1,200,0.111,0.109
1,200,0.114,0.112
1,200,0.113,0.112
1,200,0.11,0.109
1,200,0.116,0.115
1,200,0.11,0.109
1,200,0.114,0.112
1,200,0.118,0.117
1,200,0.112,0.11
1,200,0.116,0.114
1,200,0.11,0.109
1,200,0.111,0.11
1,200,0.11,0.108
1,200,0.115,0.113
1,200,0.114,0.113
1,200,0.11,0.109
1,200,0.118,0.117
1,200,0.129,0.127
1,200,0.115,0.113
1,200,0.112,0.11
1,200,0.117,0.115
1,200,0.113,0.112
1,200,0.11,0.108
1,200,0.116,0.114
1,200,0.111,0.109
1,200,0.114,0.113
1,200,0.116,0.114
1,200,0.111,0.109
1,200,0.114,0.112
1,200,0.11,0.108
1,200,0.116,0.115
