Timestamp,StatusCode,E2ELatency,InternalLatency
1,200,0.11,0.106
3,200,7.635,7.631
3,200,0.13,0.126
6,200,7.619,7.615
9,200,7.706,7.702
10,200,0.126,0.122
10,200,0.124,0.12
12,200,7.674,7.67
12,200,0.127,0.125
12,200,0.127,0.123
13,200,0.124,0.12
16,200,7.91,7.906
16,200,0.125,0.123
16,200,0.125,0.122
17,200,0.118,0.114
17,200,0.115,0.113
17,200,0.191,0.189
17,200,0.115,0.113
17,200,0.116,0.113
17,200,0.115,0.113
19,200,7.985,7.981
21,200,7.581,7.577
22,200,0.129,0.125
22,200,1.052,1.05
22,200,0.128,0.126
22,200,0.132,0.13
24,200,7.706,7.701
25,200,0.138,0.134
25,200,0.128,0.124
25,200,0.124,0.12
26,200,0.118,0.115
26,200,0.202,0.198
27,200,0.119,0.115
31,200,7.872,7.868
31,200,0.128,0.126
31,200,0.126,0.124
31,200,0.119,0.117
33,200,8.112,8.107
33,200,0.117,0.115
33,200,0.129,0.127
33,200,0.134,0.132
33,200,0.119,0.117
33,200,0.202,0.2
35,200,7.771,7.767
37,200,7.449,7.444
38,200,0.131,0.128
41,200,7.955,7.951
43,200,7.665,7.661
43,200,0.132,0.128
44,200,0.128,0.124
44,200,0.121,0.117
44,200,0.118,0.114
45,200,0.201,0.197
46,200,7.287,7.283
46,200,0.136,0.132
47,200,0.133,0.129
50,200,7.509,7.504
51,200,0.128,0.124
53,200,7.612,7.608
56,200,7.567,7.563
56,200,0.129,0.125
57,200,0.132,0.128
57,200,0.12,0.117
57,200,0.126,0.122
62,200,7.65,7.645
64,200,7.758,7.754
64,200,0.127,0.125
64,200,0.125,0.121
65,200,0.118,0.114
66,200,7.203,7.198
67,200,0.135,0.13
67,200,1.058,1.054
68,200,0.133,0.129
68,200,0.127,0.123
69,200,0.12,0.116
70,200,6.816,6.811
70,200,0.131,0.129
70,200,0.13,0.127
70,200,0.122,0.12
71,200,0.126,0.124
72,200,6.79,6.786
73,200,0.128,0.124
73,200,1.044,1.039
74,200,0.128,0.124
75,200,6.902,6.897
76,200,0.13,0.126
76,200,1.043,1.038
77,200,0.131,0.127
78,200,6.95,6.945
79,200,0.131,0.127
79,200,0.135,0.131
88,200,7.605,7.601
90,200,7.585,7.581
91,200,0.129,0.125
91,200,1.026,1.024
91,200,0.126,0.124
91,200,0.124,0.122
92,200,0.118,0.116
92,200,0.121,0.117
92,200,0.19,0.186
96,200,7.648,7.644
97,200,0.125,0.121
98,200,7.218,7.213
99,200,0.133,0.129
100,200,6.745,6.741
101,200,0.13,0.127
104,200,7.646,7.642
104,200,1.024,1.022
104,200,0.126,0.124
104,200,0.124,0.122
104,200,0.116,0.114
106,200,7.964,7.96
108,200,7.646,7.642
108,200,0.128,0.123
109,200,0.127,0.123
109,200,1.025,1.021
110,200,0.128,0.124
110,200,0.126,0.122
113,200,7.502,7.497
114,200,0.13,0.125
115,200,7.359,7.355
115,200,0.131,0.128
115,200,0.126,0.122
116,200,0.128,0.124
117,200,6.82,6.815
118,200,0.127,0.124
119,200,6.934,6.93
119,200,0.131,0.129
119,200,0.126,0.122
122,200,7.47,7.465
122,200,0.125,0.123
122,200,0.126,0.122
123,200,0.119,0.115
129,200,7.843,7.838
129,200,0.13,0.128
129,200,0.127,0.123
137,200,7.56,7.556
137,200,0.13,0.128
137,200,0.124,0.121
137,200,0.116,0.114
142,200,7.503,7.498
142,200,0.126,0.122
143,200,0.124,0.121
143,200,1.026,1.022
143,200,0.13,0.126
145,200,7.787,7.783
149,200,7.373,7.369
149,200,0.123,0.121
149,200,0.123,0.119
152,200,7.609,7.605
156,200,7.518,7.514
156,200,0.132,0.128
160,200,7.701,7.697
160,200,0.119,0.117
160,200,0.133,0.131
160,200,0.126,0.124
160,200,0.131,0.129
160,200,0.199,0.197
161,200,0.118,0.116
162,200,7.257,7.252
162,200,0.128,0.124
164,200,7.528,7.524
168,200,7.755,7.751
169,200,0.128,0.124
171,200,7.643,7.639
171,200,0.125,0.123
171,200,0.124,0.121
171,200,0.117,0.115
173,200,7.833,7.828
174,200,0.127,0.124
175,200,7.158,7.154
175,200,0.135,0.133
175,200,0.131,0.127
176,200,0.124,0.12
181,200,7.607,7.602
182,200,0.135,0.131
183,200,7.184,7.18
184,200,0.132,0.128
186,200,7.587,7.583
187,200,0.129,0.125
189,200,7.638,7.633
189,200,0.13,0.128
189,200,0.127,0.123
190,200,0.126,0.123
191,200,7.274,7.269
191,200,0.132,0.128
192,200,0.13,0.127
194,200,7.734,7.73
195,200,0.129,0.125
195,200,1.037,1.033
195,200,0.128,0.124
196,200,0.128,0.124
196,200,0.121,0.117
197,200,0.121,0.117
200,200,7.43,7.426
200,200,0.128,0.124
208,200,7.589,7.585
210,200,7.463,7.459
213,200,7.767,7.762
217,200,7.67,7.665
217,200,0.127,0.125
217,200,0.127,0.124
221,200,7.535,7.531
222,200,0.129,0.125
224,200,7.605,7.601
226,200,7.459,7.455
226,200,0.129,0.127
226,200,0.122,0.12
226,200,0.116,0.113
227,200,0.114,0.112
227,200,1.047,1.043
229,200,7.692,7.687
231,200,7.605,7.6
231,200,0.135,0.133
231,200,0.125,0.121
232,200,0.125,0.121
232,200,1.032,1.029
232,200,0.125,0.121
233,200,0.124,0.12
233,200,0.117,0.113
233,200,0.116,0.112
235,200,7.851,7.846
235,200,0.126,0.122
236,200,0.126,0.122
236,200,1.048,1.044
238,200,7.489,7.485
239,200,0.133,0.128
239,200,1.044,1.04
240,200,0.126,0.122
243,200,7.715,7.71
243,200,0.131,0.128
243,200,0.128,0.124
244,200,0.122,0.117
244,200,1.053,1.049
245,200,0.128,0.124
246,200,7.249,7.245
247,200,0.131,0.127
247,200,1.024,1.022
247,200,0.128,0.125
247,200,0.13,0.128
247,200,0.118,0.116
249,200,7.503,7.499
252,200,7.691,7.686
252,200,0.128,0.126
252,200,0.131,0.127
254,200,7.745,7.741
256,200,7.616,7.611
259,200,7.529,7.525
261,200,7.55,7.546
265,200,8.092,8.087
268,200,7.913,7.909
270,200,7.511,7.507
270,200,0.125,0.122
270,200,0.124,0.122
270,200,0.116,0.114
272,200,7.728,7.724
272,200,0.128,0.124
273,200,0.125,0.121
273,200,1.059,1.057
273,200,0.129,0.127
273,200,0.127,0.125
274,200,0.122,0.12
274,200,0.124,0.121
275,200,0.198,0.194
277,200,7.484,7.479
279,200,7.69,7.686
279,200,0.128,0.124
281,200,7.581,7.576
282,200,0.128,0.124
284,200,7.496,7.492
284,200,0.128,0.126
284,200,0.127,0.124
288,200,7.675,7.671
290,200,7.521,7.516
291,200,0.125,0.122
291,200,1.061,1.056
292,200,0.132,0.128
