Timestamp,StatusCode,E2ELatency,InternalLatency
1,200,1.247,1.239
3,200,8.32,8.316
3,200,0.323,0.319
6,200,8.459,8.455
9,200,8.483,8.479
10,200,0.308,0.304
10,200,0.308,0.305
12,200,8.123,8.118
12,200,0.317,0.314
12,200,0.313,0.31
13,200,0.306,0.302
16,200,8.493,8.489
16,200,0.317,0.315
16,200,0.313,0.309
17,200,0.309,0.306
17,200,0.306,0.304
17,200,1.233,1.23
17,200,0.312,0.31
17,200,0.312,0.309
17,200,0.304,0.301
19,200,8.736,8.732
21,200,8.486,8.481
22,200,0.319,0.315
22,200,0.314,0.312
22,200,0.305,0.303
22,200,0.302,0.299
24,200,8.383,8.379
25,200,0.325,0.321
25,200,0.314,0.311
25,200,0.308,0.304
26,200,0.31,0.306
26,200,0.307,0.303
27,200,0.305,0.301
31,200,8.467,8.462
31,200,0.315,0.312
31,200,0.312,0.31
31,200,0.307,0.305
33,200,8.728,8.724
33,200,0.306,0.304
33,200,0.312,0.31
33,200,0.313,0.31
33,200,0.306,0.304
33,200,0.306,0.304
35,200,8.575,8.571
37,200,8.574,8.57
38,200,0.312,0.307
41,200,8.579,8.574
43,200,8.397,8.393
43,200,0.32,0.315
44,200,0.316,0.313
44,200,0.307,0.304
44,200,0.305,0.301
45,200,0.307,0.303
46,200,0.307,0.303
46,200,0.306,0.302
47,200,0.307,0.303
50,200,8.497,8.493
51,200,0.311,0.308
53,200,8.442,8.438
56,200,8.377,8.373
56,200,0.32,0.316
57,200,0.32,0.316
57,200,0.31,0.306
57,200,0.307,0.303
62,200,8.473,8.468
64,200,8.413,8.408
64,200,0.319,0.317
64,200,0.315,0.311
65,200,0.308,0.304
66,200,1.24,1.235
67,200,0.317,0.313
67,200,0.313,0.309
68,200,0.306,0.302
68,200,0.307,0.303
69,200,0.305,0.301
70,200,0.304,0.3
70,200,0.305,0.303
70,200,0.303,0.301
70,200,0.302,0.3
71,200,0.301,0.299
72,200,0.304,0.3
73,200,0.308,0.304
73,200,0.303,0.299
74,200,0.306,0.302
75,200,0.303,0.299
76,200,0.302,0.298
76,200,0.304,0.3
77,200,0.302,0.298
78,200,0.305,0.301
79,200,0.309,0.305
79,200,0.303,0.3
88,200,8.604,8.6
90,200,8.498,8.494
91,200,0.322,0.318
91,200,0.314,0.312
91,200,0.306,0.303
91,200,0.304,0.301
92,200,0.317,0.315
92,200,0.308,0.304
92,200,0.306,0.302
96,200,8.534,8.529
97,200,0.321,0.317
98,200,1.242,1.238
