Timestamp,StatusCode,E2ELatency
2,200,36.963
2,200,37.052
2,200,37.851
2,200,2.16
2,200,1.392
3,200,1.417
3,200,3.336
3,200,6.255
4,200,2.898
4,200,2.647
4,200,2.349
4,200,2.307
5,200,2.367
13,200,4.532
13,200,2.394
14,200,2.559
16,200,3.67
16,200,2.513
17,200,2.554
17,200,2.821
17,200,2.437
17,200,2.16
17,200,2.791
19,200,3.636
19,200,4.033
19,200,2.668
20,200,2.784
22,200,4.171
22,200,3.451
26,200,4.282
27,200,2.9
31,200,3.647
31,200,3.178
32,200,2.52
32,200,2.617
32,200,2.555
33,200,2.501
33,200,2.951
33,200,2.493
33,200,2.512
34,200,2.608
34,200,2.474
34,200,3.208
35,200,2.573
44,200,36.986
46,200,2.456
46,200,1.418
46,200,1.433
47,200,1.403
47,200,1.549
48,200,1.407
49,200,1.52
51,200,2.541
52,200,1.581
53,200,1.515
53,200,1.534
55,200,2.781
59,200,2.58
60,200,1.536
61,200,1.463
61,200,1.597
62,200,1.444
62,200,1.525
62,200,1.585
64,200,2.506
64,200,1.457
64,200,1.549
65,200,1.528
65,200,1.517
65,200,1.604
65,200,1.513
69,200,3.484
71,200,2.521
73,200,2.521
73,200,1.701
73,200,1.611
73,200,1.577
74,200,1.529
74,200,1.605
74,200,1.693
75,200,1.512
76,200,1.564
76,200,1.761
76,200,1.615
77,200,1.551
78,200,2.718
79,200,1.57
79,200,1.5
81,200,2.678
82,200,1.572
85,200,2.651
85,200,1.629
86,200,1.542
86,200,1.557
86,200,1.557
86,200,1.55
87,200,1.44
88,200,1.571
89,200,1.595
91,200,2.656
91,200,1.595
93,200,2.807
93,200,1.528
93,200,2.051
94,200,1.541
104,200,36.777
105,200,1.451
105,200,1.686
109,200,2.668
109,200,1.648
110,200,1.512
111,200,1.52
111,200,1.58
111,200,1.588
115,200,3.22
115,200,1.764
117,200,2.7
121,200,2.632
121,200,1.559
121,200,1.899
121,200,1.454
122,200,1.507
122,200,1.551
122,200,1.861
122,200,1.472
123,200,1.487
123,200,1.651
123,200,1.509
123,200,1.529
123,200,1.483
124,200,1.441
124,200,1.508
124,200,1.502
124,200,1.489
124,200,1.467
125,200,1.488
125,200,3.006
125,200,1.64
125,200,1.482
133,200,37.408
133,200,36.552
133,200,31.787
133,200,35.762
133,200,1.495
133,200,1.514
134,200,1.76
134,200,1.494
134,200,1.536
134,200,1.475
134,200,1.497
134,200,1.443
134,200,1.559
135,200,1.63
135,200,1.582
135,200,1.631
135,200,1.495
135,200,1.491
136,200,1.57
136,200,1.55
136,200,1.57
136,200,1.49
137,200,1.55
137,200,1.642
137,200,2.549
140,200,2.735
140,200,1.495
140,200,1.51
142,200,2.674
143,200,1.687
146,200,2.797
147,200,1.578
147,200,1.52
151,200,2.801
151,200,1.654
151,200,1.545
151,200,1.507
151,200,1.573
152,200,1.649
152,200,3.069
152,200,1.58
152,200,1.494
152,200,1.492
153,200,1.789
153,200,1.549
153,200,1.601
153,200,1.49
153,200,1.5
154,200,1.606
154,200,1.586
154,200,1.866
154,200,1.488
154,200,1.504
154,200,1.532
154,200,1.503
155,200,2.469
155,200,1.529
155,200,1.479
155,200,1.483
163,200,36.684
163,200,36.273
164,200,1.468
169,200,2.954
169,200,1.579
169,200,1.532
170,200,1.639
170,200,1.561
170,200,1.541
170,200,1.525
170,200,1.505
170,200,1.462
171,200,1.593
171,200,1.506
171,200,1.512
171,200,1.574
171,200,1.657
172,200,1.561
172,200,1.521
172,200,1.56
172,200,1.519
172,200,1.536
172,200,1.534
173,200,2.564
173,200,1.561
173,200,1.515
175,200,2.853
176,200,1.737
178,200,2.634
178,200,1.6
180,200,2.739
181,200,1.663
181,200,1.492
181,200,1.586
181,200,1.498
181,200,1.787
181,200,1.521
181,200,1.51
181,200,1.57
181,200,1.564
181,200,1.538
181,200,1.5
181,200,1.486
181,200,1.513
181,200,1.503
181,200,1.469
181,200,1.517
181,200,1.484
181,200,1.473
182,200,1.561
182,200,1.448
182,200,1.499
182,200,1.53
182,200,1.559
182,200,1.52
182,200,1.551
182,200,1.549
182,200,1.606
182,200,1.583
182,200,1.46
182,200,1.533
182,200,1.462
182,200,1.629
182,200,1.502
182,200,1.468
183,200,1.619
183,200,1.451
183,200,1.567
183,200,1.652
183,200,1.528
183,200,1.488
183,200,1.501
183,200,1.536
183,200,1.526
183,200,1.498
183,200,1.459
183,200,1.473
183,200,1.518
183,200,2.404
184,200,1.676
184,200,1.515
184,200,1.497
184,200,1.539
184,200,1.576
184,200,1.608
184,200,1.577
184,200,1.516
184,200,1.477
184,200,1.477
184,200,1.475
184,200,1.497
184,200,1.494
184,200,1.507
184,200,1.466
184,200,1.475
184,200,1.587
184,200,1.452
184,200,1.532
184,200,1.549
185,200,1.671
185,200,1.631
185,200,1.529
185,200,1.492
187,200,2.865
193,200,37.462
193,200,36.724
193,200,36.38
193,200,35.864
193,200,36.416
193,200,32.672
193,200,35.932
193,200,33.104
193,200,36.402
193,200,36.237
